Object ID,Predicate,Period
141,年代,1745–55
142,年代,1785–90
143,年代,1785–90
144,年代,1790–1800
145,年代,1790–1800
146,年代,约1860年至1866年
147,年代,约1860年至1866年
148,年代,约1860年至1866年
149,年代,约1860年至1866年
150,年代,约1860年至1866年
151,年代,约1860年至1866年
152,年代,约1860年至1866年
153,年代,约1860年至1866年
154,年代,约1860年至1866年
155,年代,约1860年至1866年
156,年代,1785–90
157,年代,1785–90
158,年代,1770–1830
159,年代,约1790年
160,年代,1879–83
161,年代,1800–1815
162,年代,1792–96
163,年代,约1786年
164,年代,1790–1800
165,年代,约1860年至1866年
166,年代,约1800年
167,年代,1785–1815
168,年代,1785–1815
169,年代,1790–1800
170,年代,1770–95
171,年代,1736–95
172,年代,1770–95
173,年代,1770–95
174,年代,1770–1800
175,年代,1770–1800
176,年代,1800–1900
177,年代,1800–1900
178,年代,1770–1800
179,年代,约1784年
180,年代,1770–1800
181,年代,约1784年
182,年代,1785–90
183,年代,约1795年
184,年代,1800–1815
185,年代,1891–94
186,年代,1735–96
187,年代,约1790年
188,年代,1770–1800
189,年代,1785–90
190,年代,1736–95
191,年代,1853–57
192,年代,1825–50
193,年代,1785–90
194,年代,1770–1800
195,年代,1700-1800
196,年代,1736–95
197,年代,1736–95
198,年代,1736–95
199,年代,1736–95
200,年代,1736–95
201,年代,1736–95
202,年代,1800–1815
203,年代,1800–1815
204,年代,1800–1815
205,年代,1800–1815
206,年代,1800–1815
207,年代,1800–1815
208,年代,1800–1815
209,年代,1800–1815
210,年代,1800–1815
211,年代,1800–1815
212,年代,1785–1805
213,年代,1785–1805
214,年代,1785–1805
215,年代,1879–83
216,年代,1879–83
217,年代,1785–90
218,年代,1785–90
219,年代,1785–90
220,年代,1785–90
221,年代,1785–90
222,年代,1785–90
223,年代,1785–90
224,年代,1785–90
225,年代,1785–90
226,年代,1785–90
227,年代,1785–90
228,年代,1785–90
229,年代,1785–90
230,年代,1785–90
231,年代,1785–90
232,年代,1785–90
233,年代,1785–90
234,年代,1785–90
235,年代,1785–90
236,年代,1785–90
237,年代,1785–90
238,年代,1785–90
239,年代,1785–90
240,年代,1785–90
241,年代,1785–90
242,年代,1785–90
243,年代,1785–90
244,年代,1785–90
245,年代,1785–90
246,年代,1785–90
247,年代,1785–90
248,年代,1785–90
249,年代,1785–90
250,年代,1785–90
251,年代,1785–90
252,年代,1785–90
253,年代,1785–90
254,年代,1785–90
255,年代,1785–90
256,年代,1785–90
257,年代,1785–90
258,年代,1785–90
259,年代,1785–90
260,年代,1785–90
261,年代,1785–90
262,年代,1785–90
263,年代,1785–90
264,年代,1785–90
265,年代,1785–90
266,年代,1785–90
267,年代,1785–90
268,年代,1785–90
269,年代,1785–90
270,年代,1785–90
271,年代,约1860年至1866年
272,年代,约1860年至1866年
273,年代,约1860年至1866年
274,年代,约1860年至1866年
275,年代,约1860年至1866年
276,年代,约1860年至1866年
277,年代,约1860年至1866年
278,年代,约1860年至1866年
279,年代,约1860年至1866年
280,年代,约1860年至1866年
281,年代,约1860年至1866年
282,年代,约1796年-1810年
283,年代,1780-90
284,年代,1736–95
285,年代,1736–95
286,年代,约1821年至约1823年。1846
287,年代,约1818年-约。1846
288,年代,约1860年至1866年
289,年代,约1860年至1866年
290,年代,1800–1815
291,年代,约1860年至1866年
292,年代,约1860年至1866年
293,年代,1736–95
294,年代,1736–95
295,年代,约1860年至1866年
296,年代,约1860年至1866年
297,年代,约1860年至1866年
298,年代,约1860年至1866年
299,年代,1800–1815
300,年代,1790–1800
301,年代,1800–1810
302,年代,大约1800年至1810年
303,年代,1800–1830
304,年代,1770–1800
305,年代,1770–1800
306,年代,1736–95
307,年代,1750–90
308,年代,1750–90
309,年代,1710–25
310,年代,1800–1830
311,年代,1800–1830
312,年代,1800–1830
313,年代,1800–1830
314,年代,1800–1830
315,年代,1800–1830
316,年代,清朝（1644-1911），约1784-1992年
317,年代,1700-1800
318,年代,1700-1800
319,年代,1800–1900
320,年代,1800–1900
321,年代,1800–1900
322,年代,1800–1900
323,年代,1700-1800
324,年代,1700-1800
325,年代,1800–1900
326,年代,1800–1900
327,年代,1800–1830
328,年代,1700–1720
329,年代,1736–95
330,年代,1736–95
331,年代,1800–1810
332,年代,约1800年
333,年代,约1905年
334,年代,1800–1900
335,年代,1750–75
336,年代,19世纪至20世纪
337,年代,约1880年
338,年代,约1785年
339,年代,约1905年
340,年代,约1865年
341,年代,1868–86
342,年代,1875–85
343,年代,1857–90
344,年代,约1785年
345,年代,1730–1800
346,年代,1800–1830
347,年代,1704
348,年代,约1795年
349,年代,约1786年
350,年代,1730–70
351,年代,1800–1900
352,年代,大约1800年至1810年
353,年代,1700-1800
354,年代,约1830年
355,年代,约1824年至1834年
356,年代,约1835年-约。1849
357,年代,约1840年至约1840年。1854
358,年代,约1840年至约1840年。1854
359,年代,约1840年至约1840年。1854
360,年代,约1840年至约1840年。1854
361,年代,大约在1830年左右。1846
362,年代,约1820年至约1820年。1846
363,年代,约1818年-约。1846
364,年代,约1818年-约。1846
365,年代,大约1824年至约1824年。1846
366,年代,约1828年至约1828年间。1846
367,年代,约1818年-约。1846
368,年代,1736–95
369,年代,约1765年至1760年
370,年代,1736–95
371,年代,1785–90
372,年代,1785–90
373,年代,1785–90
374,年代,1785–90
375,年代,1785–90
376,年代,1785–90
377,年代,1785–90
378,年代,1785–90
379,年代,1785–90
380,年代,1785–90
381,年代,1785–90
382,年代,1785–90
383,年代,1785–90
384,年代,1785–90
385,年代,1785–90
386,年代,1785–90
387,年代,1785–90
388,年代,1785–90
389,年代,1785–90
390,年代,1785–90
391,年代,1785–90
392,年代,1785–90
393,年代,1785–90
394,年代,1785–90
395,年代,1785–90
396,年代,1785–90
397,年代,1785–90
398,年代,1785–90
399,年代,1785–90
400,年代,1785–90
401,年代,1785–90
402,年代,1785–90
403,年代,1785–90
404,年代,1785–90
405,年代,1785–90
406,年代,1785–90
407,年代,1785–90
408,年代,1785–90
409,年代,1785–90
410,年代,1785–90
411,年代,1785–90
412,年代,1785–90
413,年代,1785–90
414,年代,1785–90
415,年代,1785–90
416,年代,1785–90
417,年代,1785–90
418,年代,1785–90
419,年代,1785–90
420,年代,约1860年至1866年
421,年代,约1860年至1866年
422,年代,约1860年至1866年
423,年代,约1860年至1866年
424,年代,约1860年至1866年
425,年代,约1860年至1866年
426,年代,约1860年至1866年
427,年代,约1860年至1866年
428,年代,约1860年至1866年
429,年代,约1860年至1866年
430,年代,约1860年至1866年
431,年代,约1860年至1866年
432,年代,约1860年至1866年
433,年代,约1860年至1866年
434,年代,约1860年至1866年
435,年代,约1860年至1866年
436,年代,约1860年至1866年
437,年代,约1860年至1866年
438,年代,约1860年至1866年
439,年代,约1860年至1866年
440,年代,约1860年至1866年
441,年代,约1860年至1866年
442,年代,约1860年至1866年
443,年代,约1860年至1866年
444,年代,约1860年至1866年
445,年代,约1860年至1866年
446,年代,约1860年至1866年
447,年代,约1860年至1866年
448,年代,约1860年至1866年
449,年代,约1860年至1866年
450,年代,约1860年至1866年
451,年代,约1860年至1866年
452,年代,约1860年至1866年
453,年代,约1860年至1866年
454,年代,约1860年至1866年
455,年代,约1860年至1866年
456,年代,约1860年至1866年
457,年代,约1860年至1866年
458,年代,约1860年至1866年
459,年代,约1860年至1866年
460,年代,约1860年至1866年
461,年代,约1860年至1866年
462,年代,约1860年至1866年
463,年代,约1860年至1866年
464,年代,约1860年至1866年
465,年代,约1860年至1866年
466,年代,约1860年至1866年
467,年代,约1860年至1866年
468,年代,约1860年至1866年
469,年代,约1860年至1866年
470,年代,约1860年至1866年
471,年代,1765–70
472,年代,1765–70
473,年代,1765–70
474,年代,1765–70
475,年代,1765–70
476,年代,1736–95
477,年代,1736–95
478,年代,1736–95
479,年代,1736–95
480,年代,1736–95
481,年代,1736–95
482,年代,1736–95
483,年代,1800–1830
484,年代,1800–1830
485,年代,1800–1830
486,年代,1800–1830
487,年代,1800–1830
488,年代,1800–1830
489,年代,1800–1830
490,年代,1800–1830
491,年代,1800–1830
492,年代,1800–1830
493,年代,1800–1830
494,年代,1800–1830
495,年代,1791
496,年代,1745–55
497,年代,1800–1810
498,年代,1800–1900
499,年代,约1840年至约1840年。1850
500,年代,约1840年至约1840年。1854
501,年代,约1840年至约1840年。1854
502,年代,约1840年至约1840年。1854
503,年代,约1828年至约1828年间。1846
504,年代,1785–90
505,年代,1785–90
506,年代,1785–90
507,年代,1785–90
508,年代,1785–90
509,年代,1785–90
510,年代,1785–90
511,年代,1785–90
512,年代,1785–90
513,年代,1785–90
514,年代,1785–90
515,年代,1785–90
516,年代,1785–90
517,年代,1785–90
518,年代,1785–90
519,年代,1765–70
520,年代,1790–1800
521,年代,约1860年至1866年
522,年代,1736–95
523,年代,1736–95
524,年代,1736–95
525,年代,1736–95
526,年代,1800–1830
527,年代,1800–1830
528,年代,1800–1830
529,年代,1800–1830
530,年代,1800–1830
531,年代,约1860年至1866年
532,年代,约1860年至1866年
533,年代,约1860年至1866年
534,年代,约1860年至1866年
535,年代,约1860年至1866年
536,年代,约1860年至1866年
537,年代,约1860年至1866年
538,年代,1785–90
539,年代,1785–90
540,年代,1785–90
541,年代,1736–95
542,年代,1735–40
543,年代,约1687年
544,年代,1800–1805
545,年代,约1790年
546,年代,1770–1800
547,年代,1785–1800
548,年代,1785–1800
549,年代,约1786-1790年
550,年代,1765年至1766年，改建于1769年至1761年
551,年代,1785–90
552,年代,1785–90
553,年代,1785–90
554,年代,1736–95
555,年代,1785–90
556,年代,1785–90
557,年代,约1795年
558,年代,1735–96
559,年代,约1820年
560,年代,1770–1800
561,年代,1770–1830
562,年代,约1790年
563,年代,1825–50
564,年代,1785–1805
565,年代,1785–1805
566,年代,1785–1805
567,年代,约1860年至1866年
568,年代,约1860年至1866年
569,年代,约1860年至1866年
570,年代,约1860年至1866年
571,年代,约1860年至1866年
572,年代,约1860年至1866年
573,年代,约1860年至1866年
574,年代,约1860年至1866年
575,年代,约1860年至1866年
576,年代,约1860年至1866年
577,年代,约1860年至1866年
578,年代,约1860年至1866年
579,年代,1785–90
580,年代,1785–90
581,年代,1785–90
582,年代,1785–90
583,年代,1785–90
584,年代,1785–90
585,年代,1785–90
586,年代,1785–90
587,年代,1785–90
588,年代,1785–90
589,年代,1785–90
590,年代,约1860年至1866年
591,年代,约1860年至1866年
592,年代,约1860年至1866年
593,年代,约1860年至1866年
594,年代,约1860年至1866年
595,年代,约1860年至1866年
596,年代,约1860年至1866年
597,年代,约1860年至1866年
598,年代,约1860年至1866年
599,年代,约1860年至1866年
600,年代,约1860年至1866年
601,年代,约1860年至1866年
602,年代,1800–1830
603,年代,约1840年
604,年代,约1800年
605,年代,1800–1900
606,年代,1770–1800
607,年代,约1860年至1866年
608,年代,约1860年至1866年
609,年代,约1860年至1866年
610,年代,约1860年至1866年
611,年代,约1860年至1866年
612,年代,约1860年至1866年
613,年代,约1860年至1866年
614,年代,约1860年至1866年
615,年代,约1860年至1866年
616,年代,约1860年至1866年
617,年代,约1860年至1866年
618,年代,约1860年至1866年
619,年代,约1860年至1866年
620,年代,约1860年至1866年
621,年代,约1860年至1866年
622,年代,约1860年至1866年
623,年代,约1860年至1866年
624,年代,约1860年至1866年
625,年代,约1860年至1866年
626,年代,约1860年至1866年
627,年代,约1860年至1866年
628,年代,约1860年至1866年
629,年代,约1860年至1866年
630,年代,1770–1830
631,年代,1736–95
632,年代,1736–95
633,年代,1785–90
634,年代,1785–90
635,年代,1785–90
636,年代,1785–90
637,年代,1785–90
638,年代,1785–90
639,年代,1785–90
640,年代,1785–90
641,年代,1785–90
642,年代,1785–90
643,年代,1785–90
644,年代,1785–90
645,年代,1785–90
646,年代,1785–90
647,年代,1785–90
648,年代,1785–90
649,年代,1785–90
650,年代,1785–90
651,年代,1785–90
652,年代,1785–90
653,年代,1785–90
654,年代,1785–90
655,年代,1785–90
656,年代,1785–90
657,年代,1736–95
658,年代,1736–95
659,年代,1800–1830
660,年代,1800–1830
661,年代,1800–1830
662,年代,1800–1830
663,年代,1800–1830
664,年代,1800–1830
665,年代,1800–1830
666,年代,1800–1830
667,年代,1800–1830
668,年代,1800–1830
669,年代,1800–1830
670,年代,1800–1830
671,年代,1750–70
672,年代,约1865年
673,年代,1912–14
674,年代,1912–14
675,年代,1912–14
676,年代,1912–14
677,年代,1912–14
678,年代,1912–14
679,年代,1770–1800
680,年代,1891–94
681,年代,约1820年
682,年代,约1820年
683,年代,约1820年
684,年代,约1820年
685,年代,约1820年
686,年代,1775–1800
687,年代,1770–1830
688,年代,大约1790年至1800年
689,年代,1800–1815
690,年代,约1860年至1866年
691,年代,约1860年至1866年
692,年代,约1860年至1866年
693,年代,约1860年至1866年
694,年代,约1860年至1866年
695,年代,约1860年至1866年
696,年代,约1860年至1866年
697,年代,约1860年至1866年
698,年代,约1860年至1866年
699,年代,约1860年至1866年
700,年代,约1860年至1866年
701,年代,约1860年至1866年
702,年代,约1860年至1866年
703,年代,约1860年至1866年
704,年代,约1860年至1866年
705,年代,1770–1800
706,年代,1770–1830
707,年代,1770–1830
708,年代,1720–35
709,年代,1730–70
710,年代,1690-1700
711,年代,1879–83
712,年代,1871–92
713,年代,1785–1805
714,年代,1800–1815
715,年代,1891–94
716,年代,1800–1820
717,年代,19世纪
718,年代,约1800年
719,年代,1736–95
720,年代,约1860年至1866年
721,年代,约1860年至1866年
722,年代,1785–90
723,年代,1736–95
724,年代,约1800年
725,年代,1800–1900
726,年代,1800–1900
727,年代,1700-1800
728,年代,1886–90
729,年代,1880
730,年代,1905
731,年代,约1892年
732,年代,约1800年
733,年代,约1800年
734,年代,约1800年
735,年代,1700–1730
736,年代,1700–1730
737,年代,1700–1730
738,年代,1700–1730
739,年代,1700–1730
740,年代,1700–1730
741,年代,1700–1730
742,年代,1700–1730
743,年代,1700–1730
744,年代,1700–1730
745,年代,1700–1730
746,年代,1700–1730
747,年代,1700–1730
748,年代,1700–1730
749,年代,1700–1730
750,年代,1700–1730
751,年代,1800–1815
752,年代,1800–1820
753,年代,1800–1810
754,年代,1908–9
755,年代,约1891年至1892年
756,年代,1880–90 (?)
757,年代,未知
758,年代,约1906年
759,年代,1789
760,年代,1916年，雕刻于1916年至1917年
761,年代,1916–17
762,年代,约1925年
763,年代,1796
764,年代,约1925年
765,年代,19世纪
766,年代,约1790年
767,年代,约1800年
768,年代,约1800年
769,年代,约1800年
770,年代,1813–30
771,年代,大约19世纪40年代
772,年代,约1845年
773,年代,1812–30
774,年代,约1790年
775,年代,约1800年
776,年代,约1906年
777,年代,约1906年
778,年代,1770–72
779,年代,1800–1830
780,年代,1800–1830
781,年代,1800–1850
782,年代,约1790年
783,年代,约1792年
784,年代,1800
785,年代,1766
786,年代,约1791年
787,年代,1890–1910
788,年代,1890–1910
789,年代,约1897年
790,年代,约1881-1990年
791,年代,约1786年
792,年代,约1884年
793,年代,约1808年
794,年代,1843
795,年代,1853
796,年代,1853
797,年代,1853
798,年代,1891–97
799,年代,1878
800,年代,约1880-93年
801,年代,1888
802,年代,19世纪
803,年代,1910–15
804,年代,约1870年
805,年代,1721
806,年代,1700–1799
807,年代,1883–1900
808,年代,1845–50
809,年代,1800–1850
810,年代,未知
811,年代,未知
812,年代,1785–90
813,年代,未知
814,年代,约1900年
815,年代,约1766年
816,年代,约1905年
817,年代,1879
818,年代,大约1885年至1889年
819,年代,大约1885年至1889年
820,年代,大约1885年至1889年
821,年代,大约1886年至1889年
822,年代,大约1896年至1908年
823,年代,大约1896年至1908年
824,年代,1903
825,年代,1902
826,年代,1906
827,年代,1907
828,年代,约1906年至1908年
829,年代,1906
830,年代,约1882-89年
831,年代,大约1885年至1889年
832,年代,大约1885年至1889年
833,年代,约1882-89年
834,年代,大约1885年至1889年
835,年代,大约1885年至1889年
836,年代,大约1885年至1889年
837,年代,约1882-89年
838,年代,约1882-89年
839,年代,约1882-89年
840,年代,约1882-89年
841,年代,约1882-89年
842,年代,约1882-89年
843,年代,约1882-89年
844,年代,大约1885年至1889年
845,年代,大约1885年至1889年
846,年代,大约1885年至1889年
847,年代,大约1885年至1889年
848,年代,大约1886年至1889年
849,年代,大约1891年至1895年
850,年代,约1882-89年
851,年代,约1905年
852,年代,1906
853,年代,1880
854,年代,约1922年
855,年代,1914
856,年代,1891–95
857,年代,1881–82
858,年代,约1905年
859,年代,约1904年
860,年代,约1886年
861,年代,1700–1799
862,年代,19世纪
863,年代,1819
864,年代,1815–35
865,年代,1815
866,年代,未知
867,年代,18世纪
868,年代,刀刃，18世纪；镶嵌，19世纪
869,年代,刀片，19世纪；19世纪中后期
870,年代,18-19世纪
871,年代,19世纪
872,年代,19世纪初
873,年代,17世纪
874,年代,18世纪
875,年代,19世纪
876,年代,17世纪
877,年代,18世纪
878,年代,17世纪
879,年代,17-18世纪
880,年代,18世纪
881,年代,17-18世纪
882,年代,18世纪
883,年代,17世纪
884,年代,18世纪
885,年代,18世纪
886,年代,17世纪
887,年代,18世纪
888,年代,18世纪
889,年代,17世纪
890,年代,日期1850年
891,年代,约1650年
892,年代,19世纪初
893,年代,17世纪
894,年代,17-18世纪
895,年代,五世纪
896,年代,大约5世纪
897,年代,大约1700年
898,年代,大约1700年
899,年代,约18世纪
900,年代,18世纪末至19世纪
901,年代,18世纪
902,年代,5世纪或6世纪
903,年代,约1475-1470年
904,年代,大约1600年
905,年代,五世纪
906,年代,七世纪
907,年代,1607–11
908,年代,约1590年
909,年代,19世纪初至中期
910,年代,大约600年
911,年代,大约600年
912,年代,安装，约1750-1800年
913,年代,18世纪
914,年代,19世纪
915,年代,19世纪
916,年代,可能是18世纪
917,年代,18世纪
918,年代,17-18世纪
919,年代,15-16世纪
920,年代,17世纪
921,年代,18-19世纪
922,年代,1368–1644
923,年代,18-19世纪
924,年代,18-19世纪
925,年代,20世纪初
926,年代,刀刃，16世纪；镶嵌，19世纪
927,年代,18世纪
928,年代,1698
929,年代,日期1759年
930,年代,19世纪
931,年代,大约1600年
932,年代,17世纪
933,年代,17世纪
934,年代,17世纪
935,年代,19世纪
936,年代,19世纪
937,年代,18世纪
938,年代,可能是17世纪
939,年代,约1525-30年
940,年代,14-16世纪
941,年代,可能是17世纪中后期
942,年代,17-18世纪
943,年代,8-10世纪
944,年代,鞍板，17-18世纪；线束配件，15-17世纪
945,年代,14-16世纪
946,年代,可能是15-17世纪
947,年代,19世纪初
948,年代,18世纪
949,年代,8-10世纪
950,年代,16-18世纪
951,年代,18-19世纪
952,年代,17世纪
953,年代,18-19世纪
954,年代,可能是17-18世纪
955,年代,15-18世纪
956,年代,15-17世纪
957,年代,可能是15-16世纪
958,年代,17世纪
959,年代,大约1700年
960,年代,公元前5至4世纪
961,年代,约1615年-1868年
962,年代,约1615年-1868年
963,年代,约1615年-1868年
964,年代,19世纪
965,年代,18世纪末至19世纪初
966,年代,约1615年-1868年
967,年代,1860年（7岁，1个月）
968,年代,18世纪
969,年代,19世纪中叶
970,年代,17世纪
971,年代,18世纪
972,年代,18世纪
973,年代,17世纪
974,年代,公元前3世纪
975,年代,1122亿年前至255亿年前
976,年代,18世纪末至19世纪初
977,年代,19世纪
978,年代,可能是14-16世纪
979,年代,18-19世纪
980,年代,18-19世纪
981,年代,公元前8世纪至3世纪
982,年代,约公元前4世纪至1世纪
983,年代,17-18世纪
984,年代,15-17世纪
985,年代,15-17世纪
986,年代,大约1400年
987,年代,13世纪末至15世纪
988,年代,日期1424年
989,年代,17-19世纪
990,年代,可能是15-17世纪
991,年代,15-17世纪
992,年代,15-18世纪
993,年代,18-19世纪
994,年代,17-18世纪
995,年代,可能是16-17世纪
996,年代,18-19世纪
997,年代,17-18世纪
998,年代,17-18世纪
999,年代,18-19世纪
1000,年代,15-17世纪
1001,年代,16-18世纪
1002,年代,16-17世纪
1003,年代,17-18世纪
1004,年代,公元前4世纪至3世纪
1005,年代,15-17世纪
1006,年代,公元前5世纪至公元前1世纪
1007,年代,14-16世纪
1008,年代,可能13-14世纪
1009,年代,17-18世纪
1010,年代,15-17世纪
1011,年代,可能是12-14世纪
1012,年代,17-18世纪
1013,年代,15-18世纪
1014,年代,17-18世纪
1015,年代,17-19世纪
1016,年代,900–1400
1017,年代,约1950年至约1950年。1975
1018,年代,可能是17-18世纪
1019,年代,15-17世纪
1020,年代,15-17世纪
1021,年代,15-17世纪
1022,年代,17-18世纪
1023,年代,17-18世纪
1024,年代,16-18世纪
1025,年代,可能是19世纪至20世纪
1026,年代,可能是18-19世纪
1027,年代,可能是18世纪
1028,年代,18-19世纪（？）
1029,年代,可能是18世纪
1030,年代,18-19世纪
1031,年代,可能是19世纪至20世纪初
1032,年代,可能是19世纪至20世纪初
1033,年代,可能是19世纪至20世纪初
1034,年代,15-17世纪
1035,年代,18-19世纪
1036,年代,16-18世纪
1037,年代,17-18世纪
1038,年代,15-17世纪
1039,年代,可能是15-18世纪
1040,年代,18世纪
1041,年代,17-19世纪
1042,年代,19世纪
1043,年代,1350–1450
1044,年代,19世纪
1045,年代,19世纪
1046,年代,可能是17世纪
1047,年代,19世纪
1048,年代,18-19世纪
1049,年代,约1660-1670年
1050,年代,可能是16-19世纪
1051,年代,16-17世纪
1052,年代,18世纪
1053,年代,五世纪
1054,年代,17-19世纪
1055,年代,头盔，16世纪末至17世纪初；徽章，18世纪
1056,年代,刀刃，18世纪；镶嵌，18世纪至19世纪初
1057,年代,15世纪末至17世纪初
1058,年代,17-19世纪
1059,年代,可能是16-17世纪
1060,年代,16-18世纪
1061,年代,可能是16-17世纪
1062,年代,17-19世纪
1063,年代,18-19世纪
1064,年代,18-19世纪
1065,年代,19世纪
1066,年代,19世纪
1067,年代,19世纪
1068,年代,19世纪
1069,年代,19世纪
1070,年代,18-19世纪
1071,年代,18-19世纪
1072,年代,18-19世纪
1073,年代,可能是16-17世纪
1074,年代,19世纪
1075,年代,19世纪
1076,年代,18-19世纪
1077,年代,18-19世纪
1078,年代,18-19世纪
1079,年代,19世纪
1080,年代,19世纪
1081,年代,19世纪
1082,年代,18-19世纪
1083,年代,18-19世纪
1084,年代,18-19世纪
1085,年代,17-19世纪
1086,年代,18-19世纪
1087,年代,18-19世纪
1088,年代,17-19世纪
1089,年代,18-19世纪
1090,年代,18-19世纪
1091,年代,19世纪
1092,年代,18-19世纪
1093,年代,19世纪
1094,年代,可能是15-17世纪
1095,年代,18-19世纪
1096,年代,17-19世纪
1097,年代,18-19世纪
1098,年代,18-19世纪
1099,年代,16-18世纪
1100,年代,15-17世纪
1101,年代,17-19世纪
1102,年代,14-15世纪
1103,年代,可能是15-18世纪。
1104,年代,18-19世纪
1105,年代,18-19世纪
1106,年代,18-19世纪
1107,年代,19世纪
1108,年代,16-19世纪
1109,年代,约1607-17年
1110,年代,14-15世纪
1111,年代,可能是15-16世纪。
1112,年代,ca.1930s
1113,年代,ca.1930s
1114,年代,19-20世纪
1115,年代,19-20世纪
1116,年代,19-20世纪
1117,年代,19-20世纪
1118,年代,19-20世纪
1119,年代,19-20世纪
1120,年代,19-20世纪
1121,年代,19-20世纪
1122,年代,18世纪初
1123,年代,19世纪初
1124,年代,19世纪初
1125,年代,18世纪
1126,年代,1770年
1127,年代,18世纪末
1128,年代,16-17世纪
1129,年代,13世纪或以后
1130,年代,19世纪
1131,年代,18-19世纪
1132,年代,18-19世纪
1133,年代,17-19世纪
1134,年代,17-19世纪
1135,年代,19世纪
1136,年代,19世纪
1137,年代,可能是19世纪。
1138,年代,18-19世纪
1139,年代,18-19世纪
1140,年代,17-19世纪
1141,年代,17-19世纪
1142,年代,17-19世纪
1143,年代,17-19世纪
1144,年代,17-19世纪
1145,年代,17-19世纪
1146,年代,17-19世纪
1147,年代,17-19世纪
1148,年代,17-19世纪
1149,年代,17-19世纪
1150,年代,17-19世纪
1151,年代,17-19世纪
1152,年代,17-19世纪
1153,年代,17-19世纪
1154,年代,17-19世纪
1155,年代,17-19世纪
1156,年代,17-19世纪
1157,年代,17-19世纪
1158,年代,17-19世纪
1159,年代,17-19世纪
1160,年代,17-19世纪
1161,年代,17-19世纪
1162,年代,17-19世纪
1163,年代,17-19世纪
1164,年代,17-19世纪
1165,年代,17-19世纪
1166,年代,17-19世纪
1167,年代,17-19世纪
1168,年代,17-19世纪
1169,年代,17-19世纪
1170,年代,17-19世纪
1171,年代,17-19世纪
1172,年代,17-19世纪
1173,年代,17-19世纪
1174,年代,17-19世纪
1175,年代,17-19世纪
1176,年代,17-19世纪
1177,年代,17-19世纪
1178,年代,17-19世纪
1179,年代,17-19世纪
1180,年代,17-19世纪
1181,年代,17-19世纪
1182,年代,17-19世纪
1183,年代,17-19世纪
1184,年代,17-19世纪
1185,年代,17-19世纪
1186,年代,17-19世纪
1187,年代,17-19世纪
1188,年代,17-19世纪
1189,年代,17-19世纪
1190,年代,17-19世纪
1191,年代,17-19世纪
1192,年代,17-19世纪
