Description,Object ID
"十八世纪，“罐”（Cann）一词与“马克杯”（mug）一词互换使用，指的是一种梨形或郁金香形的饮用器皿，带有卷轴形把手和圆形底座。这对尺寸巨大的罐子是为埃利亚斯·哈斯凯特·德比（Elias Hasket Derby，1739-1799）和他的妻子伊丽莎白（Elizabeth）制作的，每只罐子的正面都镌刻着伊丽莎白交错书写的字母组合“EHED”。德比是马萨诸塞州塞勒姆一位富有的船商。1783年4月，里维尔在账簿中记录道，他正在为“EH·达比先生”（EH Darby, Esq）制作一对夸脱罐。此外，博物馆还收藏了一套里维尔制作的银质烧杯（58.3.1-.4），以及几件家具和中国外销瓷器。",110
这个瓷篮是美国第二大瓷器制造商——费城博宁和莫里斯早期瓷器制造公司制作的最雄心勃勃的作品之一。它展现了这家企业非凡的能力和雄心壮志，目前已知仅存19个完整的瓷篮。像这样的水果篮和贝壳泡菜架曾是奢侈品，它们会摆放在美国一些最富有的殖民者的餐具柜和餐桌上。这些精美的物品对于一家新兴工厂来说极具挑战性，也正因如此，它证明了殖民企业非凡的雄心壮志。瓷器材质要求极高，需要专用粘土，并且需要在高温下烧制。镂空篮子展现了高超的刻划和镂空技艺，它们刻划并去除了空隙，留下了相互交错的圆圈和水平支柱。彩绘装饰需要技艺精湛的画家；这个篮子凸显了陶器在控制釉下钴蓝方面面临的一些挑战，因为钴蓝在上釉和烧制过程中会晕染开来。这项事业的推动力很可能来自费城人本杰明·拉什和本杰明·富兰克林。后者以鼓励美国工业发展以及致力于减少对英国产品的依赖、支持国内生产而闻名。其互锁的圆圈设计和釉下蓝彩装饰，体现了当时十八世纪中期盛行的洛可可风格。它模仿了英国伍斯特工厂生产的相关篮子。其釉下手绘花卉飞蛾纹饰与许多英国作品相似，体现了工厂力图在与英国进口奢侈品竞争中取胜的决心。两位企业家古斯·博宁（Gousse Bonnin）和乔治·安东尼·莫里斯（George Anthony Morris）在英国技艺娴熟的工匠的帮助下，开始尝试这种高难度的烧制方法，并于1770年末烧制出第一座窑炉。然而，这段充满抱负的年轻合作关系只维持了不到两年，1772年11月，他们便登广告，将工厂的所有建筑、窑炉等出售给出价最高的人。尽管如此，这件作品仍然展现了工厂早期在面临重重挑战的情况下，依然雄心勃勃地想要在殖民地时期的美洲生产本土产品——在本例中指的是奢侈瓷器。,112
英国代尔夫特陶器经常直接复制进口中国瓷器的设计，例如这件饰有青花花卉图案的瓷盘。这件大盘可能是早期殖民地时期家居的珍品。,113
无描述信息,114
无描述信息,115
无描述信息,119
无描述信息,120
无描述信息,121
弗洛伦斯·科勒 (Florence Koehler) 体现了唯美主义和工艺美术运动的理念，她运用多种装饰媒介进行创作，包括家居室内设计、瓷器装饰、珠宝和绘画。在珠宝创作方面，如同在陶器和绘画创作中一样，科勒展现了学者对过去的感悟，以及现代主义者对当代的眼光。她偏爱珍珠、宝石、未抛光的黄金和柔和的珐琅，在英国、法国和意大利长期居住期间，她从文艺复兴时期的设计中汲取灵感。这套胸针（或吊坠）、项链和梳子约于1905年为芝加哥实业家理查德·T·克兰 (Richard T. Crane) 的女儿艾米丽·克兰·查德伯恩 (Emily Crane Chadbourne) 制作。这条四股项链配有一个由绿色珐琅叶子和一簇珍珠组成的金扣。项链可以单独佩戴，也可以与镶嵌在扣环上的祖母绿、蓝宝石和珍珠吊坠搭配佩戴。这枚胸针吊坠由四颗长方形宝石和交替排列的珍珠簇环绕一颗椭圆形凸圆形宝石，展现了设计师对北方文艺复兴时期风格的精通。类似这样的作品启发了评论家罗杰·弗莱，他在1910年将科勒誉为“现代工艺复兴”的重要力量。,122
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,123
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,124
无描述信息,125
无描述信息,126
无描述信息,127
无描述信息,129
无描述信息,131
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,135
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,137
这只巨大的潘趣碗连同其原始的碗盖和盘，必定是美国殖民地时期家庭中最奢华的瓷器之一。我们只能推测，这只碗是如何在十八世纪流落到查尔斯顿一个显赫家族手中的，其装饰表明它是为瑞典市场而制。玛丽·布兰福德·布尔于1772年去世，这只碗被列为她的遗物之一，名为“一个大型瓷碗、盘子和盖子”。布尔家族是查尔斯顿最富有的家族之一，生活富丽堂皇。这只碗通过四个女儿传给了这个家族，并于1790年流落到费城。盘上细致的彩绘场景取材于1691年一幅描绘维纳恩湖畔勒克勒瑞典城堡的版画。碗上还描绘了另外两座取材于早期印刷品的瑞典城堡；碗盖上则描绘了两座瑞典教堂，周围环绕着猎人、渔民和水手的风景。,141
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,142
无描述信息,144
无描述信息,146
无描述信息,148
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,156
无描述信息,158
无描述信息,159
这件由切尔西陶瓷艺术工作室 (Chelsea Keramic Art Works) 创作的罕见家用餐具，体现了十九世纪最后二十五年人们对远东图案的品味。其棱角分明的造型和蜂窝状表面，不仅模仿了日本金属制品的造型和手工锤打的纹理，还参考了克里斯托弗·德雷瑟 (Christopher Dresser) 的设计。柔和的青瓷釉色是工作室在模仿和完善中国陶瓷单色釉色方面进行大量实验的成功成果。,160
无描述信息,161
无描述信息,162
无描述信息,163
无描述信息,164
无描述信息,165
无描述信息,166
无描述信息,167
无描述信息,169
无描述信息,170
无描述信息,171
无描述信息,172
无描述信息,174
无描述信息,176
无描述信息,178
无描述信息,179
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,182
无描述信息,183
无描述信息,184
无描述信息,185
无描述信息,186
无描述信息,187
无描述信息,188
无描述信息,189
无描述信息,190
无描述信息,191
无描述信息,192
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,193
无描述信息,194
无描述信息,195
无描述信息,202
无描述信息,212
这件由切尔西陶瓷艺术工作室 (Chelsea Keramic Art Works) 创作的罕见家用餐具，体现了十九世纪最后二十五年人们对远东图案的品味。其棱角分明的造型和蜂窝状表面，不仅模仿了日本金属制品的造型和手工锤打的纹理，还参考了克里斯托弗·德雷瑟 (Christopher Dresser) 的设计。柔和的青瓷釉色是工作室在模仿和完善中国陶瓷单色釉色方面进行大量实验的成功成果。,215
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,257
无描述信息,271
盘边饰有八位中国仙人站立于云朵之上，周围环绕着一幅中国山水画，其中点缀着各种植物、地形和建筑结构。金色字母组合“DWMC”融合了该服务所有者——纽约州奥尔巴尼的德威特·克林顿和玛丽亚·克林顿的姓名首字母。,282
无描述信息,283
无描述信息,284
这件蓝白相间的转印陶制蔬菜盘，正面是一幅内部景观，背面是四个外部景观，可以欣赏到纽约哈德逊河畔的哈德逊高地山脉。,286
无描述信息,287
无描述信息,288
无描述信息,290
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美之间开始直接贸易之前，中国瓷器一直经由欧洲传入殖民地。这件瓷盘是纽约弗普兰克家族传承下来的一套大型瓷器的一部分。,293
无描述信息,300
无描述信息,301
无描述信息,302
无描述信息,303
无描述信息,304
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美直接贸易开始之前，中国瓷器一直经由欧洲传入殖民地。这件为纽约塞缪尔和朱迪思·弗普兰克（娘家姓科默兰）制作的瓷器上的釉上花卉装饰，完全是欧洲风格。若非其家族渊源，其设计与迈森瓷器图案的密切关联，或许暗示其原本是为德国或斯堪的纳维亚市场制作的。这件瓷器很可能是为弗普兰克夫妇位于华尔街3号的房子定制的，他们从1763年到1803年一直居住在那里。,306
无描述信息,307
这件柜子上的装饰图案，以红色、橙色以及原本鲜亮的黄色为主色调，搭配黑色底色，意在模仿一种名为“日本漆”（japanning）的技艺。从17世纪中叶开始，进口的日本和中国漆器橱柜和屏风在英国盛行一时。这种漆艺在伦敦的家具和墙板上被广泛模仿。这种技艺最终在1700年左右传到了波士顿。,309
无描述信息,310
这座雕刻精美的象牙宝塔由塞缪尔·肖在中国购得。1784年，肖乘坐“中国皇后号”抵达港口城市广州，这是新独立的美国派往广州的第一艘商船。肖的塔仿照南京著名的“瓷塔”建造，对西方人来说，这座建筑就是中国的代名词。该模型复制了其独特的九层高建筑，层层叠叠的屋檐上装饰着小铃铛。,316
无描述信息,317
无描述信息,319
无描述信息,323
无描述信息,327
这些风格独特的碗状器皿最初用于冷却酒杯，于17世纪末从中国传入西方。将冷水倒入玻璃杯后，可以将每个酒杯的杯脚悬挂在玻璃杯边缘的凹槽中，这样每个酒杯的杯身都会浸入水中。据说，这种装置的英文名称源自一位名叫蒙蒂的“奇幻苏格兰人”，他喜欢用扇贝形边缘的斗篷来吸引人们的注意。,328
中国外销瓷器曾是十八世纪高档住宅必不可少的奢侈品之一。直到1784年中美直接贸易开始之前，中国瓷器一直经由欧洲传入殖民地。这只马克杯由纽约的Verplanck家族传承下来。,329
无描述信息,331
无描述信息,332
弗洛伦斯·科勒 (Florence Koehler) 体现了唯美主义和工艺美术运动的理念，她运用多种装饰媒介进行创作，包括家居室内设计、瓷器装饰、珠宝和绘画。在珠宝创作方面，如同在陶器和绘画创作中一样，科勒展现了学者对过去的感悟，以及现代主义者对当代的眼光。她偏爱珍珠、宝石、未抛光的黄金和柔和的珐琅，在英国、法国和意大利长期居住期间，她从文艺复兴时期的设计中汲取灵感。这套胸针（或吊坠）、项链和梳子约于1905年为芝加哥实业家理查德·T·克兰 (Richard T. Crane) 的女儿艾米丽·克兰·查德伯恩 (Emily Crane Chadbourne) 制作。这条四股项链配有一个由绿色珐琅叶子和一簇珍珠组成的金扣。项链可以单独佩戴，也可以与镶嵌在扣环上的祖母绿、蓝宝石和珍珠吊坠搭配佩戴。这枚胸针吊坠由四颗长方形宝石和交替排列的珍珠簇环绕一颗椭圆形凸圆形宝石，展现了设计师对北方文艺复兴时期风格的精通。类似这样的作品启发了评论家罗杰·弗莱，他在1910年将科勒誉为“现代工艺复兴”的重要力量。,333
无描述信息,334
马米恩厅（Marmion Room）的洛可可式雕花镀金壁炉架上镜，产自英国，很可能是在1770年代房间粉刷时安装的。镜框上饰有镂空涡卷纹饰、C形莨苕叶纹饰，以及一个以18世纪标准来看颇具异域风情的中式亭阁。这面镜很可能是定制的，以适应壁炉上方的空间，它被拧入墙壁，被视为永久性的建筑装置。,335
无描述信息,336
拉法基是十九世纪最具创新精神和多才多艺的艺术家之一，他以油画和水彩画、插画家、壁画家和彩色玻璃窗设计师而闻名。他是最早运用乳白色玻璃和其他非传统材料的艺术家之一，其玻璃窗设计堪称前所未有。这幅作品是拉法基在1880年至1909年间创作的至少七幅系列作品中的第一幅，所有作品均以风中牡丹为主题，改编自中国和日本的手卷和瓷器。这幅作品被安置在大都会博物馆馆长亨利·格登·马昆德（Henry Gurdon Marquand）位于纽波特的住所中，马昆德于1889年至1902年期间担任馆长。,337
无描述信息,338
弗洛伦斯·科勒 (Florence Koehler) 体现了唯美主义和工艺美术运动的理念，她运用多种装饰媒介进行创作，包括家居室内设计、瓷器装饰、珠宝和绘画。在珠宝创作方面，如同在陶器和绘画创作中一样，科勒展现了学者对过去的感悟，以及现代主义者对当代的眼光。她偏爱珍珠、宝石、未抛光的黄金和柔和的珐琅，在英国、法国和意大利长期居住期间，她从文艺复兴时期的设计中汲取灵感。这套胸针（或吊坠）、项链和梳子约于1905年为芝加哥实业家理查德·T·克兰 (Richard T. Crane) 的女儿艾米丽·克兰·查德伯恩 (Emily Crane Chadbourne) 制作。这条四股项链配有一个由绿色珐琅叶子和一簇珍珠组成的金扣。项链可以单独佩戴，也可以与镶嵌在扣环上的祖母绿、蓝宝石和珍珠吊坠搭配佩戴。这枚胸针吊坠由四颗长方形宝石和交替排列的珍珠簇环绕一颗椭圆形凸圆形宝石，展现了设计师对北方文艺复兴时期风格的精通。类似这样的作品启发了评论家罗杰·弗莱，他在1910年将科勒誉为“现代工艺复兴”的重要力量。,339
无描述信息,340
无描述信息,341
布雷特·哈特（1836-1902）在十九世纪末美国通俗文学领域堪比马克·吐温。这只水罐一侧的装饰灵感源自哈特1870年的诗歌《异教徒中国人》，这首诗讽刺了加州矿区营房里的赌博生活。在水罐正面，设计师卡尔·穆勒描绘了哈特笔下的拓荒者比尔·奈伊在一场牌局中与中国移民阿辛对峙的场景。虽然这首诗的初衷是对反华种族主义的控诉，但哈特的表达却适得其反，公众将他强调的仇外心理解读成了字面意义上的。同样，在当时美国反移民情绪高涨的时期，穆勒的设计也强化了负面刻板印象。在水罐的另一侧，穆勒与哈特的诗歌截然不同，描绘了传说中的佛兰芒啤酒发明者甘布里努斯国王的形象，他正向美国“平民”（山姆大叔的前身）乔纳森兄弟递上一杯泡沫啤酒。这一场景参考了法国人查尔斯·德林（Charles Deulin，1827-1877）于1868年发表的一篇短篇小说。,342
无描述信息,343
这件中国瓷盘是乔治·华盛顿（1732-1799）和亨利·李（1756-1818）收藏的大量瓷器之一。盘缘采用釉下青花菲茨休式镶边——一种十八世纪晚期的精致图案，融合了花卉、石榴、蝴蝶以及其他中国图案。盘上还装饰有辛辛那提协会的徽章（蓝白条纹绶带），由一位略显奇特的“光荣天使”高举。博物馆还收藏了一枚辛辛那提协会奖章的原件，该奖章是为美国独立战争期间在大陆军服役的军官打造的（35.46a，b）。,344
无描述信息,345
无描述信息,346
仿制中国青花瓷的代尔夫特陶器既时尚又价格实惠，被大量进口到美洲殖民地。,347
无描述信息,348
无描述信息,349
无描述信息,350
无描述信息,351
无描述信息,352
无描述信息,353
无描述信息,354
这件蓝白相间的转印陶盘由斯塔福德郡的詹姆斯和拉尔夫·克莱斯公司制作，描绘的是 1824 年 8 月 16 日拉法耶特将军（1757-1834 年）在纽约港凯旋登陆的情景。在那里，他受到了美国海军舰艇“利文斯顿总理”号的迎接，并被护送到城堡花园，数千名爱国支持者在那里举行了盛大的庆祝活动。,355
无描述信息,356
无描述信息,357
无描述信息,361
无描述信息,362
无描述信息,363
无描述信息,364
无描述信息,365
无描述信息,366
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美直接贸易开始之前，中国瓷器一直经由欧洲传入殖民地。这件为纽约塞缪尔和朱迪思·弗普兰克（娘家姓科默兰）制作的瓷器上的釉上花卉装饰，完全是欧洲风格。若非其家族渊源，其设计与迈森瓷器图案的密切关联，或许暗示其原本是为德国或斯堪的纳维亚市场制作的。这件瓷器很可能是为弗普兰克夫妇位于华尔街3号的房子定制的，他们从1763年到1803年一直居住在那里。,368
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,371
无描述信息,420
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美之间开始直接贸易之前，中国瓷器一直经由欧洲传入殖民地。这件汤盘是纽约维普兰克家族传承下来的一套大型餐具的一部分。,471
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美之间开始直接贸易之前，中国瓷器一直经由欧洲传入殖民地。这件汤盘是纽约维普兰克家族传承下来的一套大型餐具的一部分。,476
无描述信息,483
无描述信息,495
这只巨大的潘趣碗连同其原始的碗盖和盘，必定是美国殖民地时期家庭中最奢华的瓷器之一。我们只能推测，这只碗是如何在十八世纪流落到查尔斯顿一个显赫家族手中的，其装饰表明它是为瑞典市场而制。玛丽·布兰福德·布尔于1772年去世，这只碗被列为她的遗物之一，名为“一个大型瓷碗、盘子和盖子”。布尔家族是查尔斯顿最富有的家族之一，生活富丽堂皇。这只碗通过四个女儿传给了这个家族，并于1790年流落到费城。盘上细致的彩绘场景取材于1691年一幅描绘维纳恩湖畔勒克勒瑞典城堡的版画。碗上还描绘了另外两座取材于早期印刷品的瑞典城堡；碗盖上则描绘了两座瑞典教堂，周围环绕着猎人、渔民和水手的风景。,496
该盘子上刻有乔治·华盛顿的墓碑，体现了独立战争后人们对国家领导人的爱国爱戴和崇敬之情。,497
无描述信息,498
无描述信息,499
无描述信息,500
无描述信息,503
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,504
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美之间开始直接贸易之前，中国瓷器一直经由欧洲运往殖民地。这只大盘是纽约维普兰克家族传承下来的一套大型餐具的一部分。,519
无描述信息,520
无描述信息,521
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美直接贸易开始之前，中国瓷器一直经由欧洲传入殖民地。这件为纽约塞缪尔和朱迪思·弗普兰克（娘家姓科默兰）制作的瓷器上的釉上花卉装饰，完全是欧洲风格。若非其家族渊源，其设计与迈森瓷器图案的密切关联，或许暗示其原本是为德国或斯堪的纳维亚市场制作的。这件瓷器很可能是为弗普兰克夫妇位于华尔街3号的房子定制的，他们从1763年到1803年一直居住在那里。,522
无描述信息,524
无描述信息,526
无描述信息,537
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,540
无描述信息,541
无描述信息,542
殖民者使用带嘴的饮壶来饮用牛奶酒（posset）和其他饮品。制作牛奶酒时，需要将鸡蛋、奶油、糖、面包、葡萄酒和麦芽酒等各种组合煮沸、撇去浮沫，然后趁热享用。低位壶嘴非常适合盛放带有泡沫的液体。这只牛奶酒壶装饰着模仿中国瓷器图案的中国风图案。,543
无描述信息,544
无描述信息,545
无描述信息,546
无描述信息,547
这只碗描绘的是广州的行商，欧洲和中国商人在此做生意。,548
这只非凡的潘趣酒碗上刻有证书，其复制品与辛辛那提协会颁发给埃比尼泽·史蒂文斯（1751-1823）的证书极为相似。证书日期为1785年12月。史蒂文斯是指挥纽约炮兵的少将，也是该协会纽约分会的副会长。碗口和碗底周围的镀银装饰很可能是在19世纪初为修复早期裂纹而制作的——这足以证明碗的主人对它的重视程度。此外，还为理查德·瓦里克上校（1753-1831）制作了一个相关的多色版本。瓦里克是该协会纽约分会的会长，而史蒂文斯是副会长。尽管瓦里克的军事生涯因与本尼迪克特·阿诺德的关系而蒙上了污点，但他后来成为了华盛顿的机要秘书，并于1789年至1801年担任纽约市长。这只碗至今仍由史蒂文斯家族传承。铭文左侧是辛辛纳图斯，身旁有一只巨鹰，高举一面饰有美国鹰徽的旗帜。闪电击退了英国狮子和不列颠尼亚的雕像。右侧，在港口景色的映衬下，吹响号角的名人天使展示着协会的印章。,549
这间房间所在的房子位于费城南三街244号，由船长兼商人查尔斯·斯特德曼于1765-66年间建造。由于家道中落，斯特德曼几乎在房子竣工后就将其出售，1769年8月2日，塞缪尔·鲍威尔以3150英镑的价格买下。鲍威尔是费城一个名门望族的年轻富家子弟。他毕业于费城学院（后来的宾夕法尼亚大学），并开始了为期七年的欧洲之旅。他在与伊丽莎白·威林结婚前五天买下了这栋位于南三街的房子，并几乎立即着手翻修，以体现这对新婚夫妇的财富、品味和优雅气质。这间房间位于房子二楼宴会厅的后面，最初的用途尚不清楚。它可能与宴会厅一起用于茶点；也可能是房子里最好的卧室。鲍威尔聘请了费城一些最优秀的工匠进行翻修。房间内大理石壁炉的环绕、十字形壁炉架以及铜绿彩绘的叶形装饰，都体现了费城当时最时尚的乔治亚风格。鲍威尔后来成为英国统治下费城的最后一任市长，也是美国独立战争后的首任市长。他经常宴请乔治·华盛顿和约翰·亚当斯等名人，后者曾将这栋装饰精美的宅邸称为“富丽堂皇的宝座”。,550
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,551
中国外销瓷器曾是十八世纪精美家居的必备奢侈品之一。直到1784年中美之间开始直接贸易之前，中国瓷器一直经由欧洲运往殖民地。这只盐瓶是纽约维普兰克家族传承下来的一项大型藏品。,554
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,555
无描述信息,557
无描述信息,558
无描述信息,559
无描述信息,560
无描述信息,561
无描述信息,562
无描述信息,563
无描述信息,564
无描述信息,567
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,579
无描述信息,602
无描述信息,603
无描述信息,604
无描述信息,605
无描述信息,606
无描述信息,607
无描述信息,630
这件物品属于一套大型餐具（编号10.149.1-.248），上面饰有汤利家族的盾徽。这套餐具可能由马里兰州安纳波利斯的法官塞缪尔·蔡斯（Samuel Chase，1741-1811）订购，上面绘有蔡斯姑母玛格丽特·汤利（Margaret Townley）的珐琅彩绘盾徽。,633
无描述信息,659
无描述信息,671
无描述信息,672
赖特为利特尔夫妇位于明尼通卡湖畔的避暑别墅设计了一套六盏橡木立灯（1972.60.14-.19）。灯罩由六角形橡木框架构成，内衬羊皮纸。为了向赖特所推崇的亚洲艺术致敬（他于1905年首次前往日本，此后多次造访），每盏灯都配有一根长长的丝绸拉绳，拉绳上饰有中式流苏，用于控制电灯的开关。,673
无描述信息,679
无描述信息,680
无描述信息,681
无描述信息,686
无描述信息,687
无描述信息,688
无描述信息,689
无描述信息,690
无描述信息,705
无描述信息,706
无描述信息,708
无描述信息,709
这件茶壶的球形壶身、直壶嘴和可拆卸壶盖模仿了中国陶瓷的风格，而奢华的纹章雕刻、模压足环和蜿蜒的金属线则是早期纽约银器的典型特征。素净的表面与线条和雕塑般的装饰形成鲜明对比，是这一时期最精美的作品的标志。雕刻的羽毛装饰环绕着菲利普斯家族的纹章，他们是殖民地时期纽约的富商。这件茶壶后来传到了杰伊家族手中。,710
这件由切尔西陶瓷艺术工作室 (Chelsea Keramic Art Works) 创作的罕见家用餐具，体现了十九世纪最后二十五年人们对远东图案的品味。其棱角分明的造型和蜂窝状表面，不仅模仿了日本金属制品的造型和手工锤打的纹理，还参考了克里斯托弗·德雷瑟 (Christopher Dresser) 的设计。柔和的青瓷釉色是工作室在模仿和完善中国陶瓷单色釉色方面进行大量实验的成功成果。,711
无描述信息,712
无描述信息,713
无描述信息,714
无描述信息,715
