博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
15,徐冰（中国，1955 年生），纸本木刻水墨画；图像：53.5 x 73.7 厘米（21.1/16 x 29 英寸）；纸张：克利夫兰艺术博物馆，Nancy F. 和 Joseph P. Keithley 收藏赠品 2020.160,《一条大河》—《重复》系列,1986,pr - 木刻,"(Booklyn, Inc., Brooklyn, NY, 卖给 Nancy F. and Joseph P. Keithley) (? -2015); Nancy F. and Joseph P. Keithley, Shaker heights, Oh, 赠送给克利夫兰艺术博物馆 (2015-2020); 克利夫兰艺术博物馆, cleveland, oh (2020-)",https://clevelandart.org/art/2020.160,无图像
16,青铜盘，1915 年前。青铜；总长：7.7 厘米（3.1/16 英寸）。,青铜盘,1915 年之前,中国艺术,约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?-1915 年）；克利夫兰艺术博物馆，俄亥俄州克利夫兰市（1915 年--）；约翰-亨廷顿艺术和理工信托基金，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆（?,https://clevelandart.org/art/1915.698,https://openaccess-cdn.clevelandart.org/1915.698/1915.698_web.jpg
17,瓷器；总长：75 厘米（29 1/2 英寸）。克利夫兰艺术博物馆，Ralph King 夫妇赠 1914.535,瓶,1736–95,中国 - 清朝,[],https://clevelandart.org/art/1914.535,https://openaccess-cdn.clevelandart.org/1914.535/1914.535_web.jpg
18,中国，河北省，东魏（534-550 年）。石灰石；总尺寸：77.5 x 44.4 厘米（30 1/2 x 17 1/2 英寸）。,释迦及菩萨石碑,537,中国 - 北朝,(Edgar WORCH [1880-1972]，纽约州纽约市和德国柏林，出售给克利夫兰艺术博物馆）(?-1914); 克利夫兰艺术博物馆 (1914-),https://clevelandart.org/art/1914.567,https://openaccess-cdn.clevelandart.org/1914.567/1914.567_web.jpg
19,王辉（中国，1632-1717 年）。挂轴，绢本设色；总尺寸：200.9 x 99.2 厘米（79.1/8 x 39.1/16 英寸）。,《山水》,1632–1717,亚洲 - 挂轴,"Charles L. Freer [1854-1919], Detroit, mi, 赠送给克利夫兰艺术博物馆 (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.105,https://openaccess-cdn.clevelandart.org/1915.105/1915.105_web.jpg
20,中国，元朝（1271-1368 年）。挂轴，绢本设色；总尺寸：211.1 x 101.3 厘米（83.1/8 x 39.7/8英寸）。,《宫廷仕女图》,1271–1368,亚洲 - 挂轴,"Charles Lang Freer [1854-1919], Detroit, mi, 赠送给克利夫兰艺术博物馆 (? -1919); 克利夫兰艺术博物馆, cleveland, oh (1919-)",https://clevelandart.org/art/1915.106,https://openaccess-cdn.clevelandart.org/1915.106/1915.106_web.jpg
21,竹林七贤，1644-1911。中国，清朝（1644-1911）。挂轴，绢上水墨微彩；总尺寸：169.2 x 95.9 厘米（66.5/8 x 37.3/4英寸）。克利夫兰艺术博物馆，Charles L. Freer赠 1915.107,《竹林七贤图》,1644–1911,亚洲 - 挂轴,[],https://clevelandart.org/art/1915.107,https://openaccess-cdn.clevelandart.org/1915.107/1915.107_web.jpg
22,中国，清朝（1644-1911 年）.挂轴，纸上水墨和微色；总尺寸：152.4 x 73.3 厘米（60 x 28 7/8 英寸）.克利夫兰艺术博物馆，Charles L. Freer 1915.108 赠送.,《人物山水》,1644–1911,亚洲 - 挂轴,[],https://clevelandart.org/art/1915.108,https://openaccess-cdn.clevelandart.org/1915.108/1915.108_web.jpg
23,夏圭（中国，约1405-1445年活 跃）。挂轴，绢本水墨设色；画作：62.5 x 113.7 厘米（24.5/8 x 44.3/4 英寸）；带钮整体：214 x 137 厘米（84.1/4 x 53.15/16 英寸）。克利夫兰艺术博物馆，Charles L. Freer 1915.110 赠。,《儿童嬉戏图》,1508,亚洲 - 挂轴,"Charles L. Freer [1854-1919], Detroit, mi, 赠送给克利夫兰艺术博物馆 (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.110,https://openaccess-cdn.clevelandart.org/1915.110/1915.110_web.jpg
24,中国，明代（1368-1644 年）。挂轴，绢本设色；绘画：克利夫兰艺术博物馆，Charles L. Freer 1915.111 赠送。,《韩伊哥像》,c.1368-1644,亚洲 - 挂轴,[],https://clevelandart.org/art/1915.111,https://openaccess-cdn.clevelandart.org/1915.111/1915.111_web.jpg
25,中国，明代（1368-1644 年）。挂轴，绢本水墨设色；绘画：130 x 78.3 厘米（51 3/16 x 30 13/16 英寸）。克利夫兰艺术博物馆，Charles L. Freer 1915.112 赠送。,《韩夫人聂芳像》,1368–1644,亚洲 - 挂轴,"Charles Lang Freer [1854-1919], Detroit, mi, 赠送给克利夫兰艺术博物馆 (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.112,https://openaccess-cdn.clevelandart.org/1915.112/1915.112_web.jpg
26,中国，清朝（1644-1911 年）.挂轴，纸上水墨和微色；总尺寸： 138.7 x 56.2 厘米（54.5/8 x 22.1/8 英寸）.克利夫兰艺术博物馆，Charles L. Freer 1915.114 赠送.,《山水》,1644–1911,亚洲 - 挂轴,[],https://clevelandart.org/art/1915.114,https://openaccess-cdn.clevelandart.org/1915.114/1915.114_web.jpg
27,中国，明代（1368-1644 年）。挂轴，绢本设色；总尺寸： 162.6 x 48.6 厘米（64 x 19 1/8 英寸）。,《花石图》,1368–1644,亚洲 - 挂轴,"Charles L. Freer [1854-1919], Detroit, mi, 赠送给克利夫兰艺术博物馆 (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.116,https://openaccess-cdn.clevelandart.org/1915.116/1915.116_web.jpg
28,芦苇下的鸭子，1400 年代。中国，明代（1368-1644 年）。挂轴，绢上水墨和彩色；总尺寸：122.5 x 79.4 厘米（48 1/4 x 31 1/4 英寸）。,《芦鸭图》,1400s,亚洲 - 挂轴,"song luo 宋犖 [1634-1713]; gong erduo 宮爾鐸 [b. 1838]; charles l. freer [1854-1919], Detroit.",https://clevelandart.org/art/1915.117,https://openaccess-cdn.clevelandart.org/1915.117/1915.117_web.jpg
29,剑，公元前 206 年-公元前 220 年。中国，汉代（公元前 202 年-公元前 220 年）。青铜；总长：7 厘米（2 3/4 英寸）。克利夫兰艺术博物馆，伍斯特-R-华纳收藏 1915.232,刀剑,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.232,https://openaccess-cdn.clevelandart.org/1915.232/1915.232_web.jpg
30,陶器；直径：54.6 厘米（21 1/2 英寸）；整体：39.4 厘米（15 1/2 英寸）；底座：19.4 x 18 厘米（7.5/8 x 7.1/16 英寸）：克利夫兰艺术博物馆，伍斯特-R-沃纳收藏 1915.309,花冠座执壶,907–1125,中国 - 辽代,[],https://clevelandart.org/art/1915.309,https://openaccess-cdn.clevelandart.org/1915.309/1915.309_web.jpg
31,菩萨头像，618-907 年。中国，唐代（618-907 年）龙门出土。深灰色石灰石；总尺寸：24.9 x 17.2 x 9 厘米（9 13/16 x 6 3/4 x 3 9/16 英寸）。克利夫兰艺术博物馆，伍斯特-R-沃纳收藏 1915.311,菩萨头部,618–907,中国 - 唐朝,沃斯特-R-沃纳[1846-1929]，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1915-),https://clevelandart.org/art/1915.311,https://openaccess-cdn.clevelandart.org/1915.311/1915.311_web.jpg
32,象牙；总长：8.7 厘米（3 7/16 英寸）。,诃利帝小像,618–907,中国 - 唐朝,"Abel William Bahr [1877-1959], New York, NY, given to the Cleveland Museum of Ar (?-1915); 克利夫兰艺术博物馆, Cleveland, Oh (1915-)",https://clevelandart.org/art/1915.333,https://openaccess-cdn.clevelandart.org/1915.333/1915.333_web.jpg
33,大理石；总尺寸：110 x 66.1 厘米（43.5/16 x 26 英寸）。克利夫兰艺术博物馆，伍斯特-R-沃纳收藏 1915.334.1,坐阿弥陀佛,c.570s,中国 - 南朝,沃斯特-R-沃纳 [1846-1929]，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1915-),https://clevelandart.org/art/1915.334.1,https://openaccess-cdn.clevelandart.org/1915.334.1/1915.334.1_web.jpg
34,中国，唐代（618-907 年）。大理石；总长：66 厘米（26 英寸）。,“房玄龄”基座,647,中国 - 唐朝,沃斯特-R-沃纳 [1846-1929]，俄亥俄州克利夫兰市，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰市(1915-),https://clevelandart.org/art/1915.334.2,https://openaccess-cdn.clevelandart.org/1915.334.2/1915.334.2_web.jpg
35,中国，清朝（1644-1911 年）。皮革上着色；总尺寸：89.9 x 76.8 厘米（35 3/8 x 30 1/4 英寸）。克利夫兰艺术博物馆，A. W. Bahr 赠 1915.335,装饰板,1644–1911,中国 - 清朝,[],https://clevelandart.org/art/1915.335,无图像
36,中国，清朝（1644-1911）.玉；总尺寸：31.6 x 27.4 厘米（12 7/16 x 10 13/16 英寸）.克利夫兰艺术博物馆，拉尔夫-金赠与 1915.352,坐佛,18-19 世纪,中国 - 清朝,[],https://clevelandart.org/art/1915.352,https://openaccess-cdn.clevelandart.org/1915.352/1915.352_web.jpg
37,中国，明代（1368-1644）。瓷器；直径：22.3 厘米（8 3/4英寸）；总长：43.2 厘米（17 英寸）。克利夫兰艺术博物馆，拉尔夫-金赠与 1915.361,定窑葫芦瓶,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1915.361,https://openaccess-cdn.clevelandart.org/1915.361/1915.361_web.jpg
38,瓷器；直径：20 厘米（7/8 英寸）；总长：33.7 厘米（13 1/4 英寸）。克利夫兰艺术博物馆，拉尔夫-金赠与 1915.364,定窑瓶,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1915.364,https://openaccess-cdn.clevelandart.org/1915.364/1915.364_web.jpg
39,中国，汉代（公元前 202 年至公元前 220 年）。陶器；总长：49 厘米（19.5/16 英寸）。克利夫兰艺术博物馆，拉尔夫-金赠与 1915.373。,壶（壶形器）,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.373,https://openaccess-cdn.clevelandart.org/1915.373/1915.373_web.jpg
40,碗：钧瓷，1100-1200 年代。中国北部，北宋（960-1127 年）-金代（1115-1234 年）。釉陶；直径：22.9 厘米（9 英寸）；整体：10.1 厘米（4 英寸）。,钧窑碗,1100 年代至 1200 年代,中国 - 宋朝,[],https://clevelandart.org/art/1915.379,https://openaccess-cdn.clevelandart.org/1915.379/1915.379_web.jpg
41,中国，河南省，黄岛窑，唐代（618-907年）。釉陶；直径：26厘米（10 1/4英寸）；总长：29.3厘米（11 9/16英寸）。,黑釉罐,700s,中国 - 唐朝,[],https://clevelandart.org/art/1915.381,https://openaccess-cdn.clevelandart.org/1915.381/1915.381_web.jpg
42,中国，六朝时期（265-589 年）或隋朝（581-618 年）。釉陶；直径：38.2 厘米（15 1/16 英寸）；整体：50.8 厘米（20 英寸）。,罐子,500s,中国 - 南朝,[],https://clevelandart.org/art/1915.388,https://openaccess-cdn.clevelandart.org/1915.388/1915.388_web.jpg
43,瓷器；直径：27 厘米（10 5/8 英寸）；总长：76.8 厘米（30 1/4 英寸）。,屠町窑罐（定窑系）,1368–1644,中国 - 明朝,[],https://clevelandart.org/art/1915.389,https://openaccess-cdn.clevelandart.org/1915.389/1915.389_web.jpg
44,中国，汉代（公元前 202 年-公元前 220 年）或更晚。石质；直径：9.5 厘米（3/4 英寸）。,戒指,西元 200 年或之后,中国艺术,"Abel William Bahr [1877-1959], New York, NY, 赠送给克利夫兰艺术博物馆 (?-1915); 克利夫兰艺术博物馆, Cleveland, Oh (1915-)",https://clevelandart.org/art/1915.394,https://openaccess-cdn.clevelandart.org/1915.394/1915.394_web.jpg
45,中国，汉代（公元前 202 年-公元前 220 年）或更晚。水晶、石头、陶器和粘土珠子；克利夫兰艺术博物馆，A. W. Bahr 1915.395 赠送。,珠串,西元 200 年或之后,中国艺术,"Abel William Bahr [1877-1959], New York, NY, 赠送给克利夫兰艺术博物馆 (?-1915); 克利夫兰艺术博物馆, Cleveland, Oh (1915-)",https://clevelandart.org/art/1915.395,https://openaccess-cdn.clevelandart.org/1915.395/1915.395_web.jpg
46,戒指，公元前 206 年-公元前 220 年。中国，汉代（公元前 202 年-公元前 220 年）。玉；直径：4.2 厘米（1.5/8 英寸）。,戒指,公元前206年-公元前220年,中国 - 汉朝,[],https://clevelandart.org/art/1915.396,https://openaccess-cdn.clevelandart.org/1915.396/1915.396_web.jpg
47,中国，汉代（公元前 202 年-公元前 220 年）或晚期。石质；直径：4.5 厘米（1 3/4 英寸）。,戒指,西元 200 年或之后,中国艺术,[],https://clevelandart.org/art/1915.397,https://openaccess-cdn.clevelandart.org/1915.397/1915.397_web.jpg
48,中国，汉代（公元前 202 年至公元前 220 年）或更晚。玛瑙；直径：5.2 厘米（2 1/16 英寸）。,戒指,西元 200 年或之后,中国艺术,[],https://clevelandart.org/art/1915.398,https://openaccess-cdn.clevelandart.org/1915.398/1915.398_web.jpg
49,中国，汉代（公元前 202 年至公元前 220 年）或更晚。玛瑙；直径：3.8 厘米（1.5 英寸）。,戒指,西元 200 年或之后,中国艺术,[],https://clevelandart.org/art/1915.399,https://openaccess-cdn.clevelandart.org/1915.399/1915.399_web.jpg
50,玛瑙；直径：3.8 厘米（1.5 英寸）。克利夫兰艺术博物馆，A. W. Bahr 1915.400 赠送。,戒指,西元 200 年或之后,中国艺术,[],https://clevelandart.org/art/1915.400,https://openaccess-cdn.clevelandart.org/1915.400/1915.400_web.jpg
51,中国，汉代（公元前 202 年至公元前 220 年）或更晚。玛瑙；直径：3.5 厘米（1 3/8 英寸）。,戒指,西元 200 年或之后,中国艺术,[],https://clevelandart.org/art/1915.401,https://openaccess-cdn.clevelandart.org/1915.401/1915.401_web.jpg
52,碗，1662-1722。中国，清朝（1644-1911），康熙年间（1661-1722）。玉；总长：16 厘米（6 5/16 英寸）。,碗,1662–1722,中国 - 清朝,[],https://clevelandart.org/art/1915.402,https://openaccess-cdn.clevelandart.org/1915.402/1915.402_web.jpg
53,银；总长：5.8 厘米（2.5/16 英寸）。克利夫兰艺术博物馆，一般收入基金 1915.403,带扣,618–907,中国 - 唐朝,[],https://clevelandart.org/art/1915.403,https://openaccess-cdn.clevelandart.org/1915.403/1915.403_web.jpg
54,瓷器；直径：29.6 厘米（11.5/8 英寸）；总长：53.7 厘米（21.1/8 英寸）。克利夫兰艺术博物馆，拉尔夫-金赠与 1915.409。,广东罐,1644–1911,中国 - 清朝,拉尔夫-金[1855-1926]，俄亥俄州克利夫兰高地，赠送给克利夫兰艺术博物馆(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰(1915-),https://clevelandart.org/art/1915.409,https://openaccess-cdn.clevelandart.org/1915.409/1915.409_web.jpg
55,克利夫兰艺术博物馆，教育采购基金 1915.410,无袖衣,1800s,纺织品,"(Mr. Walter C. Hill, New York, NY, 卖给 克利夫兰艺术博物馆) (? -1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.410,https://openaccess-cdn.clevelandart.org/1915.410/1915.410_web.jpg
56,中国，东汉（公元前 25-220 年）-六朝（317-581 年）。青铜；总长：5.2 厘米（2 1/16 英寸）。,盘旋兽形砝码,c.公元前 200 年代,中国 - 汉朝,[],https://clevelandart.org/art/1915.415,https://openaccess-cdn.clevelandart.org/1915.415/1915.415_web.jpg
57,中国，宋代（960-1279）-元代（1271-1368）。灰陶，釉下彩绘装饰，慈州器；总尺寸：13.4 x 22.9 厘米（5 1/4 x 9 英寸）。,枕头,1100 年代至 1200 年代,中国 - 宋朝,"Mrs. Langdon (Lorraine D'oremieulx Roosevelt) Warner [1887-1965], Cambridge, Ma, 赠送给克利夫兰艺术博物馆 (?-1915); 克利夫兰艺术博物馆, cleveland, oh (1915-)",https://clevelandart.org/art/1915.506,https://openaccess-cdn.clevelandart.org/1915.506/1915.506_web.jpg
58,碗，960-1279。中国，宋代（960-1279）。玻璃；直径：30.6 厘米（12 1/16英寸）；总长：13.4 厘米（5 1/4英寸）。,碗,960–1279,中国 - 宋朝,[],https://clevelandart.org/art/1915.507,https://openaccess-cdn.clevelandart.org/1915.507/1915.507_web.jpg
59,青铜；总长：4.6 厘米（1 13/16 英寸）。,搭扣,618–907,中国 - 唐朝,[],https://clevelandart.org/art/1915.508,https://openaccess-cdn.clevelandart.org/1915.508/1915.508_web.jpg
60,衣钩（daigou），公元前475-221年。中国，东周时期（公元前770-256年），战国时期（公元前475-221年）。,衣钩,公元前475-221年,中国 - 周朝,(S. M. FRANCK & CO.，英国伦敦，出售给克利夫兰艺术博物馆）(?-1915)；克利夫兰艺术博物馆，俄亥俄州克利夫兰（1915-）。,https://clevelandart.org/art/1915.510,https://openaccess-cdn.clevelandart.org/1915.510/1915.510_web.jpg
61,罗稚川（中国，活跃于 12 世纪 80 年代至 13 世纪 20 年代）。册页；绢本水墨；仅绘画：24.5 x 25.2 厘米（9.5/8 x 9.15/16 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送 1915.536,《曲水流觞图》,1330之前,亚洲 - 相册叶,duan fang 端方 [1861-1911]; Dr. J. C. [john calvin] ferguson [福开森，1866-1945]; H. W. [henry watson] kent [1866-1948] as agent for the john huntington art and polytechnical trust; john huntington art and polytechnical trust.[亨利-沃森]-肯特[1866-1948 年]作为约翰-亨廷顿艺术和理工信托基金的代理人；约翰-亨廷顿艺术和理工信托基金，克里夫兰，俄亥俄州，赠与克里夫兰艺术博物馆(?-1915 年)；克里夫兰艺术博物馆，克里夫兰，俄亥俄州(1915 年-),https://clevelandart.org/art/1915.536,https://openaccess-cdn.clevelandart.org/1915.536/1915.536_web.jpg
62,中国，北朝时期（公元前 386-581 年），北周（557-581 年）。蛇纹石；平均：克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金会赠送 1915.561,《释迦说法供养碑》,c.公元前 565 年,中国 - 周朝,(约翰-亨廷顿艺术和理工信托基金，克利夫兰，俄亥俄州，出售给克利夫兰艺术博物馆）(?-1915)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1915-）。,https://clevelandart.org/art/1915.561,https://openaccess-cdn.clevelandart.org/1915.561/1915.561_web.jpg
63,中国，北朝时期（公元前 386-581 年），北周（557-581 年）。石雕；总尺寸：21.3 x 11.7 厘米（8.3/8 x 4.5/8 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金赠送，1915.562,佛三尊,568,中国 - 周朝,(J.C.[约翰-卡尔文]-弗格森博士[1866-1945 年]，马萨诸塞州纽顿，出售给克利夫兰艺术博物馆）(?-1915 年)；克利夫兰艺术博物馆，克利夫兰，哦 (1915-),https://clevelandart.org/art/1915.562,https://openaccess-cdn.clevelandart.org/1915.562/1915.562_web.jpg
64,神兽镜，公元前 300-400 年。中国，六朝早期（317-581 年）。青铜；直径：11.4 厘米（4 1/2 英寸）。克利夫兰艺术博物馆，约翰-亨廷顿艺术和理工信托基金 1915.602 号捐赠。,“神兽镜”,300-400 ce,中国 - 南朝,[],https://clevelandart.org/art/1915.602,https://openaccess-cdn.clevelandart.org/1915.602/1915.602_web.jpg
