object_id,title,link,image,object_type,provenience,creator,date_made,materials,description
11,隔页衬垫,https://www.penn.museum/collections/object/177385,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎小长方形布垫，饰以金线花卉图案。本品为五块布垫之一，夹于79-23-1A-J的玉页之间。
12,书籍垫,https://www.penn.museum/collections/object/122275,https://www.penn.museum/collections/assets/300/166856.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,黄色丝绸锦缎矩形布垫，以金线绣有花卉图案。
13,书套,https://www.penn.museum/collections/object/90263,https://www.penn.museum/collections/assets/300/166835.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,方形布包，用黄布块拼成，印有金色图案，中央为龙形圆形章，四角饰有龙纹。背衬为素黄丝绸。一角系有一条黄丝绸金丝织锦带，长约114厘米，宽约3.5厘米。
14,盒子,https://www.penn.museum/collections/object/265182,https://www.penn.museum/collections/assets/300/142951.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,清朝,木材 | 镀金,玉牌盒，用于存放玉牌，外部镀金，饰以龙纹。
15,箭头,https://www.penn.museum/collections/object/127334,https://www.penn.museum/collections/assets/300/193699.jpg,未知,中国 | 北京 | 长城,未知,商朝 - 现代,铁,箭头。铁制。箭头部分呈三角形；长柄略呈方形。已腐蚀弯曲。在长城虹桥关发现。
16,书套,https://www.penn.museum/collections/object/339661,https://www.penn.museum/collections/assets/300/166902.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,丝绸 | 金线,方形布包，由大小不一的黄色丝绸锦缎布块构成，上面绘有云纹图案，并印有金色图案，图案包括中心为龙形的圆形徽章、四个较小的圆形徽章以及四个角纹。背衬为素黄丝绸。背衬处有锈迹和破洞。
17,瓷砖,https://www.penn.museum/collections/object/43527,https://www.penn.museum/collections/assets/300/699399.jpg,未知,中国 | 北京 | 黄庙,未知,17世纪,陶瓷制品,黄釉陶端瓦。
18,死亡面具,https://www.penn.museum/collections/object/355247,https://www.penn.museum/collections/assets/300/29313.jpg,展出,中国 | 山西 | 平定,未知,辽,银,这件薄银死亡面具的精致五官由厚重的金属板捶打而成。辽帝国时期契丹部落的男女都曾佩戴类似的面具。这些面具被固定在金、银或铜丝制成的裹尸布上，裹尸布覆盖着契丹人的遗体，这些面具埋葬于公元10世纪中叶至12世纪初的内蒙古和辽宁省。面具双眼半闭，眉毛浓密，鼻子细长。嘴巴小巧，耳朵很长，耳垂上各有一个穿孔。
19,镜子,https://www.penn.museum/collections/object/335278,https://www.penn.museum/collections/assets/300/204214.jpg,未知,中国 | 安徽 | Shoh Chou,未知,战国晚期,铜合金 | 青铜,龙纹铜镜。表面光滑细腻，泛着如漆般的绿色光泽。附有精美的镜盒。
20,印刷版,https://www.penn.museum/collections/object/116026,https://www.penn.museum/collections/assets/300/234223.jpg,未知,中国 | 西藏 | 北京,未知,15世纪 - 1949年,木头,木制印版。藏文。可能产于北京。印版两端印有汉字。正反两面均有文字。
21,彩票册,https://www.penn.museum/collections/object/265515,https://www.penn.museum/collections/assets/300/746988.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，在方形边框内竖列印有《千字文》前80个字，并用毛笔和红墨水标注。正方形中间横写着一行“照来原底给”。此外，还加盖了公司印章“泰记厰”，并用毛笔书写了时间“十夜”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
22,彩票册,https://www.penn.museum/collections/object/168947,https://www.penn.museum/collections/assets/300/746992.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,九张正方形纸张粘在一起，在方框内竖列印有《千字文》的前80个字，并用毛笔和红墨水标注。正方形中间横写着一行“照来原底给”的字样。此外，还盖有公司印章“德利厰”，并用毛笔书写了时间“十九日”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。薄白纸上印有绿色字样。红色笔触。
23,彩票册,https://www.penn.museum/collections/object/44073,https://www.penn.museum/collections/assets/300/746991.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,两张方形纸粘在一起，在方框内竖列印有《千字文》的前80个字，并用毛笔和红墨水标注。方框中间横写着一行“照来原底给”。上方盖有公司印章“泰记厰”，并用毛笔书写时间“初七夜”。这些纸牌用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。薄白纸上印有绿色字样。红色笔触。
24,彩票册,https://www.penn.museum/collections/object/107266,https://www.penn.museum/collections/assets/300/746990.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,正方形纸张，用胶水粘在一起，在方框内竖列印有《千字文》的前80个字，并用毛笔和红墨水标记。正方形中间横写着一行字“照来原底给文泰造”。其上盖有公司名称印章“恒和厰”，并用毛笔写上时间“十六日”。公司名称印章顶部为“恒和公司”。左侧为“白天”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏目的是从《千字文》的前80个字中随机选出20个字，并正确猜出。这种游戏在广州和海外华人社区广为流传。如今，这种游戏在澳门仍然以葡萄牙语拼写“pacapio”进行，在美国赌场则以“keno”的名称进行，并用数字 1 至 80 代替原来的汉字。
25,书籍,https://www.penn.museum/collections/object/32996,https://www.penn.museum/collections/assets/300/142920.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,软玉 | 丝绸 | 黄金 | 青金石 | 金线,书中一页由十块绿色软玉板制成，这些板子穿孔并用金绳串在一起。封面为黄色丝绸，上面有金锦云纹图案，符号缝制以适应牌位。这是1648年皇帝福临册封其高祖母（满族妇女）为皇后的诏书。书的两端是封面，每页都刻有双龙和一颗火焰珍珠。刻有龙纹和金粉的楷书，专有名词用青金石填充。用汉字和满文行书书写，从两端开始，到中心结束。交错的衬垫和包装纸指定了后缀KR。
26,书籍,https://www.penn.museum/collections/object/292966,https://www.penn.museum/collections/assets/300/142914.jpg,未知,中国 | 北京 | 太庙 | 祖庙,未知,1648年12月21日,软玉 | 丝绸 | 黄金 | 青金石 | 金线,书中一页由十块绿色软玉板制成，这些板子穿孔并用金绳串在一起。封面为黄色丝绸，上面有金锦云纹图案，符号缝制以适应牌位。这是1648年皇帝福临册封其高祖母（满族妇女）为皇后的诏书。书的封底刻有双龙和一颗火焰珍珠。刻有龙纹和金粉的楷书，专有名词用青金石填充。用汉字和满文行书书写，从两端开始，到中心结束。交错的衬垫和包装纸指定了后缀KR。
27,彩票册,https://www.penn.museum/collections/object/351242,https://www.penn.museum/collections/assets/300/747152.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
28,彩票册,https://www.penn.museum/collections/object/350709,https://www.penn.museum/collections/assets/300/747156.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
29,彩票册,https://www.penn.museum/collections/object/350708,https://www.penn.museum/collections/assets/300/747155.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
30,彩票册,https://www.penn.museum/collections/object/350707,https://www.penn.museum/collections/assets/300/747154.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
31,彩票册,https://www.penn.museum/collections/object/350706,https://www.penn.museum/collections/assets/300/747153.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
32,彩票册,https://www.penn.museum/collections/object/350184,https://www.penn.museum/collections/assets/300/747119.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
33,彩票册,https://www.penn.museum/collections/object/350183,https://www.penn.museum/collections/assets/300/747118.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
34,彩票册,https://www.penn.museum/collections/object/350182,https://www.penn.museum/collections/assets/300/747117.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
35,彩票册,https://www.penn.museum/collections/object/350181,https://www.penn.museum/collections/assets/300/747116.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
36,彩票册,https://www.penn.museum/collections/object/350112,https://www.penn.museum/collections/assets/300/746970.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
37,彩票册,https://www.penn.museum/collections/object/350108,https://www.penn.museum/collections/assets/300/746968.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
38,彩票册,https://www.penn.museum/collections/object/345220,https://www.penn.museum/collections/assets/300/747150.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
39,彩票册,https://www.penn.museum/collections/object/345219,https://www.penn.museum/collections/assets/300/747149.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
40,彩票册,https://www.penn.museum/collections/object/353009,https://www.penn.museum/collections/assets/300/746963.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
41,彩票册,https://www.penn.museum/collections/object/353008,https://www.penn.museum/collections/assets/300/747159.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
42,彩票册,https://www.penn.museum/collections/object/206707,https://www.penn.museum/collections/assets/300/747111.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
43,彩票册,https://www.penn.museum/collections/object/190103,https://www.penn.museum/collections/assets/300/747110.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
44,彩票册,https://www.penn.museum/collections/object/355755,https://www.penn.museum/collections/assets/300/747158.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
45,彩票册,https://www.penn.museum/collections/object/355752,https://www.penn.museum/collections/assets/300/747157.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
46,彩票册,https://www.penn.museum/collections/object/355746,https://www.penn.museum/collections/assets/300/747151.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
47,彩票册,https://www.penn.museum/collections/object/355687,https://www.penn.museum/collections/assets/300/747115.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
48,彩票册,https://www.penn.museum/collections/object/355686,https://www.penn.museum/collections/assets/300/747114.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
49,彩票册,https://www.penn.museum/collections/object/355682,https://www.penn.museum/collections/assets/300/747113.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
50,彩票册,https://www.penn.museum/collections/object/355509,https://www.penn.museum/collections/assets/300/746967.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
51,彩票册,https://www.penn.museum/collections/object/355508,https://www.penn.museum/collections/assets/300/746966.jpg,未知,中国 | 山东 | 芝罘,未知,19世纪 - 1895年,纸,方形纸张，印有《千字文》前80个字，竖着印在方形边框内，并用毛笔和红墨水标注。方形中间有一行横线，写着“照来原底给”。这些卡片用于玩“白鸽票”（普通话：bai ge piao，“白鸽彩票”）的赌博游戏。游戏的目标是从《千字文》的前80个字中随机抽取20个字，猜对即可。这种游戏在广州和海外华人社区广泛流行。如今，澳门仍然以葡萄牙语拼写“pacapio”进行游戏，美国赌场则以“keno”的名称进行游戏，用1到80的数字代替原来的汉字。
