object_id,provenience,creator,date_made,materials,description,length,width
15,China | Beijing | Great Wall,unknown,Shang Dynasty - Modern,Iron,Arrow head.  Iron.  Point with triangular sections; long shank somewhat squared.  Corroded and bent.  Obtained at Hongqiao Pass through the Great Wall.,unknown,unknown
16,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Silk | Gold Thread,"Square cloth wrapper made up of irregular sized patches of yellow silk brocade with cloud motif and printed gold designs of circular medallion with dragon at center, four smaller circular medallions and four corner motifs. Backing is plain yellow silk. Rust stains and holes especially on backing.",113 cm,117 cm
17,China | Beijing | Yellow Temple,unknown,17th Century,Ceramic,Yellow glazed pottery terminal tile.,31 cm,22 cm
18,China | Shanxi | Pingding,unknown,Liao Dynasty,Silver,"The delicate features of this thin silver death mask were beaten into shape from a heavy sheet of metal. Masks like this were placed over the faces of men and women of the Kitan (Qidan) tribes that formed the Liao empire. The masks were attached to gold, silver, or copper wire shrouds that covered the buried bodies of the Kitan and were buried in Inner Mongolia and Liaoning Province from the mid-10th to early 12th century CE.   The eyes are partly closed with heavy eyebrows and a long thin nose. There is a small mouth and long ears, each with a pierced hole in the lobe.",unknown,unknown
19,China | Anhui | Shoh Chou,unknown,Late Warring States Period,Copper Alloy | Bronze,Bronze mirror with band of dragons. Fine smooth lacquer-like green patina. In fitted box.,unknown,unknown
20,China | Tibet | Beijing,unknown,15th Century - 1949,Wood,Wooden printing block.  With Tibetan script.  Probably made in Beijing.  Chinese characters on end. Text on both sides.,unknown,unknown
21,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 泰記厰, and a brush-written time, 十夜. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.5 cm,13.4 cm
22,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Nine square sheets of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text  zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 德利厰, and a brush-written time,十九日. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters. Green printing on thin white paper. Red brush strokes.",12.8 cm,13.5 cm
23,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Two square sheets of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text  zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 泰記厰, and a brush-written time, 初七夜. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters. Green printing on thin white paper. Red brush strokes.",12.8 cm,13.5 cm
24,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text zhao lai yuan di gei wen tai zao 照來原底給文泰造  runs through the middle of the square. To this is added a company name stamp 恆和厰 and a brush-written time, 十六日. The company name is stamped on the top and reads: Hang Wo & Co.   To the left it reads: Day Time. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.5 cm,13.7 cm
25,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Nephrite | Silk | Gold | Lapis Lazuli | Gold Thread,"One page in book made of ten green nephrite slabs which are pierced and strung together with gold cord.  Cover of yellow silk with gold brocade cloud design with symbols sewn to fit tablets.  Edict written in 1648 in which Emperor Fu-lin confers a posthumous honorary title of Empress on his great-great-great-grandmother, a Manchurian tribeswoman.  End panels form the covers of the book each with incised pair of dragons and a flaming pearl.  Incised lines of dragons and script with gold dust in incisions and proper names filled in with lapis lazuli.  Written in both Chinese and Manchu Running Script, beginning at opposite ends and ending at center.  Interleaving pads and wrappings assigned suffixes K-R.",unknown,13.6 cm
26,China | Beijing | Taimiao | Temple of Ancestors,unknown,12/21/1648,Nephrite | Silk | Gold | Lapis Lazuli | Gold Thread,"One page in book made of ten green nephrite slabs which are pierced and strung together with gold cord.  Cover of yellow silk with gold brocade cloud design with symbols sewn to fit tablets.  Edict written in 1648 in which Emperor Fulin confers a posthumous honorary title of Empress on his great-great-great-grandmother, a Manchurian tribeswoman.  End panels form the covers of the book each with incised pair of dragons and a flaming pearl.  Incised lines of dragons and script with gold dust in incisions and proper names filled in with lapis lazuli.  Written in both Chinese and Manchu Running Script, beginning at opposite ends and ending at center.  Interleaving pads and wrappings assigned suffixes K-R.",unknown,14 cm
27,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
28,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
29,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
30,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
31,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
32,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
33,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
34,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
35,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
36,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
37,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
38,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
39,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
40,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
41,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
42,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
43,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
44,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
45,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
46,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
47,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
48,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
49,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
50,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
51,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
52,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
53,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
54,China | Shandong | Chefoo,unknown,19th Century - 1895,Paper,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm
