id,tombstone,title,creation_date,collection,provenance,url,image_web
20,"court ladies in the imperial palace, 1271–1368. china, yuan dynasty (1271-1368). hanging scroll, color on silk; overall: 211.1 x 101.3 cm (83 1/8 x 39 7/8 in.). the cleveland museum of art, gift of charles l. freer 1915.106",court ladies in the imperial palace,1271–1368,asian - hanging scroll,"charles lang freer [1854–1919], detroit, mi, given to the cleveland museum of art (?-1919); the cleveland museum of art, cleveland, oh (1919-)",https://clevelandart.org/art/1915.106,https://openaccess-cdn.clevelandart.org/1915.106/1915.106_web.jpg
21,"the seven worthies of the bamboo grove, 1644–1911. china, qing dynasty (1644-1911). hanging scroll, ink and slight color on silk; overall: 169.2 x 95.9 cm (66 5/8 x 37 3/4 in.). the cleveland museum of art, gift of charles l. freer 1915.107",the seven worthies of the bamboo grove,1644–1911,asian - hanging scroll,[],https://clevelandart.org/art/1915.107,https://openaccess-cdn.clevelandart.org/1915.107/1915.107_web.jpg
22,"landscape with figures, 1644–1911. china, qing dynasty (1644-1911). hanging scroll, ink and slight color on paper; overall: 152.4 x 73.3 cm (60 x 28 7/8 in.). the cleveland museum of art, gift of charles l. freer 1915.108",landscape with figures,1644–1911,asian - hanging scroll,[],https://clevelandart.org/art/1915.108,https://openaccess-cdn.clevelandart.org/1915.108/1915.108_web.jpg
23,"children at play, 1508. xia kui (chinese, active c. 1405–1445). hanging scroll, ink and color on silk; painting: 62.5 x 113.7 cm (24 5/8 x 44 3/4 in.); overall with knobs: 214 x 137 cm (84 1/4 x 53 15/16 in.). the cleveland museum of art, gift of charles l. freer 1915.110",children at play,1508,asian - hanging scroll,"charles l. freer [1854–1919], detroit, mi, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.110,https://openaccess-cdn.clevelandart.org/1915.110/1915.110_web.jpg
24,"han yige, c. 1368–1644. china, ming dynasty (1368–1644). hanging scroll, color on silk; painting: 142.9 x 82.1 cm (56 1/4 x 32 5/16 in.); overall with knobs: 194 x 95.5 cm (76 3/8 x 37 5/8 in.). the cleveland museum of art, gift of charles l. freer 1915.111",han yige,c. 1368–1644,asian - hanging scroll,[],https://clevelandart.org/art/1915.111,https://openaccess-cdn.clevelandart.org/1915.111/1915.111_web.jpg
25,"madam han neefang, 1368–1644. china, ming dynasty (1368–1644). hanging scroll, ink and color on silk; painting: 130 x 78.3 cm (51 3/16 x 30 13/16 in.). the cleveland museum of art, gift of charles l. freer 1915.112",madam han neefang,1368–1644,asian - hanging scroll,"charles lang freer [1854–1919], detroit, mi, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.112,https://openaccess-cdn.clevelandart.org/1915.112/1915.112_web.jpg
26,"landscape, 1644–1911. china, qing dynasty (1644-1911). hanging scroll, ink and slight color on paper; overall: 138.7 x 56.2 cm (54 5/8 x 22 1/8 in.). the cleveland museum of art, gift of charles l. freer 1915.114",landscape,1644–1911,asian - hanging scroll,[],https://clevelandart.org/art/1915.114,https://openaccess-cdn.clevelandart.org/1915.114/1915.114_web.jpg
27,"flowers and rocks, 1368–1644. china, ming dynasty (1368–1644). hanging scroll, color on silk; overall: 162.6 x 48.6 cm (64 x 19 1/8 in.). the cleveland museum of art, gift of charles l. freer 1915.116",flowers and rocks,1368–1644,asian - hanging scroll,"charles l. freer [1854-1919], detroit, mi, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.116,https://openaccess-cdn.clevelandart.org/1915.116/1915.116_web.jpg
28,"ducks under reeds, 1400s. china, ming dynasty (1368–1644). hanging scroll, ink and color on silk; overall: 122.5 x 79.4 cm (48 1/4 x 31 1/4 in.). the cleveland museum of art, gift of charles l. freer 1915.117",ducks under reeds,1400s,asian - hanging scroll,"song luo 宋犖 [1634–1713]; gong erduo 宮爾鐸 [b. 1838]; charles l. freer [1854–1919], detroit. mi, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.117,https://openaccess-cdn.clevelandart.org/1915.117/1915.117_web.jpg
29,"sword, 206 bce–220 ce. china, han dynasty (202 bce–220 ce). bronze; overall: 7 cm (2 3/4 in.). the cleveland museum of art, worcester r. warner collection 1915.232",sword,206 bce–220 ce,china - han dynasty,[],https://clevelandart.org/art/1915.232,https://openaccess-cdn.clevelandart.org/1915.232/1915.232_web.jpg
30,"ewer with corolla base, 907–1125. china, manchuria, liao dynasty (916-1125). pottery; diameter: 54.6 cm (21 1/2 in.); overall: 39.4 cm (15 1/2 in.); base: 19.4 x 18 cm (7 5/8 x 7 1/16 in.). the cleveland museum of art, worcester r. warner collection 1915.309",ewer with corolla base,907–1125,china - liao dynasty,[],https://clevelandart.org/art/1915.309,https://openaccess-cdn.clevelandart.org/1915.309/1915.309_web.jpg
31,"head of bodhisattva, 618–907. china, from lung-mên, tang dynasty (618-907). dark gray limestone; overall: 24.9 x 17.2 x 9 cm (9 13/16 x 6 3/4 x 3 9/16 in.). the cleveland museum of art, worcester r. warner collection 1915.311",head of bodhisattva,618–907,china - tang dynasty,"worcester r. warner [1846-1929], cleveland, oh, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.311,https://openaccess-cdn.clevelandart.org/1915.311/1915.311_web.jpg
32,"hariti statuette, 618–907. china, tang dynasty (618–907). ivory; overall: 8.7 cm (3 7/16 in.). the cleveland museum of art, gift of a. w. bahr 1915.333",hariti statuette,618–907,china - tang dynasty,"abel william bahr [1877–1959], new york, ny, given to the cleveland museum of ar (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.333,https://openaccess-cdn.clevelandart.org/1915.333/1915.333_web.jpg
33,"seated amitayus buddha, c. 570s. china, northern qi dynasty (550-577). marble; overall: 110 x 66.1 cm (43 5/16 x 26 in.). the cleveland museum of art, worcester r. warner collection 1915.334.1",seated amitayus buddha,c. 570s,china - southern dynasties,"worcester r. warner [1846–1929], cleveland, oh, given to the cleveland museum of art (?–1915); the cleveland museum of art, cleveland, oh (1915–)",https://clevelandart.org/art/1915.334.1,https://openaccess-cdn.clevelandart.org/1915.334.1/1915.334.1_web.jpg
34,"fang xuanling pedestal, 647. china, tang dynasty (618-907). marble; overall: 66 cm (26 in.). the cleveland museum of art, worcester r. warner collection 1915.334.2",fang xuanling pedestal,647,china - tang dynasty,"worcester r. warner [1846–1929], cleveland, oh, given to the cleveland museum of art (?–1915); the cleveland museum of art, cleveland, oh (1915–)",https://clevelandart.org/art/1915.334.2,https://openaccess-cdn.clevelandart.org/1915.334.2/1915.334.2_web.jpg
35,"panel, 1644–1911. china, qing dynasty (1644-1911). color on leather; overall: 89.9 x 76.8 cm (35 3/8 x 30 1/4 in.). the cleveland museum of art, gift of a. w. bahr 1915.335",panel,1644–1911,china - qing dynasty,[],https://clevelandart.org/art/1915.335,no_image
36,"seated buddha, 18th-19th century. china, qing dynasty (1644-1911). jade ; overall: 31.6 x 27.4 cm (12 7/16 x 10 13/16 in.). the cleveland museum of art, gift of ralph king 1915.352",seated buddha,18th-19th century,china - qing dynasty,[],https://clevelandart.org/art/1915.352,https://openaccess-cdn.clevelandart.org/1915.352/1915.352_web.jpg
37,"double gourd-shaped bottle: ding ware, 1368–1644. china, ming dynasty (1368–1644). porcelain; diameter: 22.3 cm (8 3/4 in.); overall: 43.2 cm (17 in.). the cleveland museum of art, gift of ralph king 1915.361",double gourd-shaped bottle: ding ware,1368–1644,china - ming dynasty,[],https://clevelandart.org/art/1915.361,https://openaccess-cdn.clevelandart.org/1915.361/1915.361_web.jpg
38,"vase: ding ware, 1368–1644. china, ming dynasty (1368–1644). porcelain; diameter: 20 cm (7 7/8 in.); overall: 33.7 cm (13 1/4 in.). the cleveland museum of art, gift of ralph king 1915.364",vase: ding ware,1368–1644,china - ming dynasty,[],https://clevelandart.org/art/1915.364,https://openaccess-cdn.clevelandart.org/1915.364/1915.364_web.jpg
39,"jar (hu), 206 bce–220 ce. china, han dynasty (202 bce–220 ce). earthenware; overall: 49 cm (19 5/16 in.). the cleveland museum of art, gift of ralph king 1915.373",jar (hu),206 bce–220 ce,china - han dynasty,[],https://clevelandart.org/art/1915.373,https://openaccess-cdn.clevelandart.org/1915.373/1915.373_web.jpg
40,"bowl:  jun ware, 1100s-1200s. northern china, northern song dynasty (960-1127) - jin dynasty (1115-1234). glazed stoneware; diameter: 22.9 cm (9 in.); overall: 10.1 cm (4 in.). the cleveland museum of art, gift of ralph king 1915.379",bowl:  jun ware,1100s-1200s,china - song dynasty,[],https://clevelandart.org/art/1915.379,https://openaccess-cdn.clevelandart.org/1915.379/1915.379_web.jpg
41,"jar:  black ware, 700s. china, henan province, huangdao kilns, tang dynasty (618-907). glazed stoneware; diameter: 26 cm (10 1/4 in.); overall: 29.3 cm (11 9/16 in.). the cleveland museum of art, gift of ralph king 1915.381",jar:  black ware,700s,china - tang dynasty,[],https://clevelandart.org/art/1915.381,https://openaccess-cdn.clevelandart.org/1915.381/1915.381_web.jpg
42,"jar, 500s. china, six dynasties period (265-589) or sui dynasty (581-618). glazed earthenware; diameter: 38.2 cm (15 1/16 in.); overall: 50.8 cm (20 in.). the cleveland museum of art, gift of ralph king 1915.388",jar,500s,china - southern dynasties,[],https://clevelandart.org/art/1915.388,https://openaccess-cdn.clevelandart.org/1915.388/1915.388_web.jpg
43,"jar, t'u ting yao, 1368–1644. china, ming dynasty (1368–1644). porcelain; diameter: 27 cm (10 5/8 in.); overall: 76.8 cm (30 1/4 in.). the cleveland museum of art, gift of ralph king 1915.389","jar, t'u ting yao",1368–1644,china - ming dynasty,[],https://clevelandart.org/art/1915.389,https://openaccess-cdn.clevelandart.org/1915.389/1915.389_web.jpg
44,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. stone; diameter: 9.5 cm (3 3/4 in.). the cleveland museum of art, gift of a. w. bahr 1915.394",ring,200 ce or later,chinese art,"abel william bahr [1877–1959], new york, ny, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.394,https://openaccess-cdn.clevelandart.org/1915.394/1915.394_web.jpg
45,"string of beads, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. crystal, stone, pottery and clay beads; the cleveland museum of art, gift of a. w. bahr 1915.395",string of beads,200 ce or later,chinese art,"abel william bahr [1877–1959], new york, ny, given to the cleveland museum of art (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.395,https://openaccess-cdn.clevelandart.org/1915.395/1915.395_web.jpg
46,"ring, 206 bce–220 ce. china, han dynasty (202 bce–220 ce). jade; diameter: 4.2 cm (1 5/8 in.). the cleveland museum of art, gift of a. w. bahr 1915.396",ring,206 bce–220 ce,china - han dynasty,[],https://clevelandart.org/art/1915.396,https://openaccess-cdn.clevelandart.org/1915.396/1915.396_web.jpg
47,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. stone; diameter: 4.5 cm (1 3/4 in.). the cleveland museum of art, gift of a. w. bahr 1915.397",ring,200 ce or later,chinese art,[],https://clevelandart.org/art/1915.397,https://openaccess-cdn.clevelandart.org/1915.397/1915.397_web.jpg
48,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. agate; diameter: 5.2 cm (2 1/16 in.). the cleveland museum of art, gift of a. w. bahr 1915.398",ring,200 ce or later,chinese art,[],https://clevelandart.org/art/1915.398,https://openaccess-cdn.clevelandart.org/1915.398/1915.398_web.jpg
49,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. agate; diameter: 3.8 cm (1 1/2 in.). the cleveland museum of art, gift of a. w. bahr 1915.399",ring,200 ce or later,chinese art,[],https://clevelandart.org/art/1915.399,https://openaccess-cdn.clevelandart.org/1915.399/1915.399_web.jpg
50,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. agate; diameter: 3.8 cm (1 1/2 in.). the cleveland museum of art, gift of a. w. bahr 1915.400",ring,200 ce or later,chinese art,[],https://clevelandart.org/art/1915.400,https://openaccess-cdn.clevelandart.org/1915.400/1915.400_web.jpg
51,"ring, 200 ce or later. china, han dynasty (202 bce–220 ce) or later. agate; diameter: 3.5 cm (1 3/8 in.). the cleveland museum of art, gift of a. w. bahr 1915.401",ring,200 ce or later,chinese art,[],https://clevelandart.org/art/1915.401,https://openaccess-cdn.clevelandart.org/1915.401/1915.401_web.jpg
52,"bowl, 1662–1722. china, qing dynasty (1644-1911), kangxi reign (1661-1722). jade; overall: 16 cm (6 5/16 in.). the cleveland museum of art, worcester r. warner collection 1915.402",bowl,1662–1722,china - qing dynasty,[],https://clevelandart.org/art/1915.402,https://openaccess-cdn.clevelandart.org/1915.402/1915.402_web.jpg
53,"buckle, 618–907. china, tang dynasty (618-907). silver; overall: 5.8 cm (2 5/16 in.). the cleveland museum of art, general income fund 1915.403",buckle,618–907,china - tang dynasty,[],https://clevelandart.org/art/1915.403,https://openaccess-cdn.clevelandart.org/1915.403/1915.403_web.jpg
54,"jar:  kuang tung, 1644–1911. china, qing dynasty (1644-1911). porcelain; diameter: 29.6 cm (11 5/8 in.); overall: 53.7 cm (21 1/8 in.). the cleveland museum of art, gift of ralph king 1915.409",jar:  kuang tung,1644–1911,china - qing dynasty,"ralph king [1855–1926], cleveland heights, oh, given to the cleveland museum of art (?–1915); the cleveland museum of art, cleveland, oh (1915–)",https://clevelandart.org/art/1915.409,https://openaccess-cdn.clevelandart.org/1915.409/1915.409_web.jpg
55,"sleeveless garment, 1800s. china, qing dynasty (1644-1911). bamboo beads strung together in diamond and hexagon patterns; edges in plain weave cotton; overall: 56.5 x 56.5 cm (22 1/4 x 22 1/4 in.). the cleveland museum of art, educational purchase fund 1915.410",sleeveless garment,1800s,textiles,"(mr. walter c. hill, new york, ny, sold to the cleveland museum of art) (?–1915); the cleveland museum of art, cleveland, oh (1915–)",https://clevelandart.org/art/1915.410,https://openaccess-cdn.clevelandart.org/1915.410/1915.410_web.jpg
56,"weight in the form of a coiled animal, c. 200s ce. china, eastern han dynasty (25–220 ce)–six dynasties (317–581). bronze; overall: 5.2 cm (2 1/16 in.). the cleveland museum of art, general income fund 1915.415",weight in the form of a coiled animal,c. 200s ce,china - han dynasty,[],https://clevelandart.org/art/1915.415,https://openaccess-cdn.clevelandart.org/1915.415/1915.415_web.jpg
57,"pillow, 1100s–1200s. china, song dynasty (960-1279) - yuan dynasty (1271-1368). gray stoneware with underglaze painted decoration, cizhou ware; overall: 13.4 x 22.9 cm (5 1/4 x 9 in.). the cleveland museum of art, gift of mrs. langdon warner 1915.506",pillow,1100s–1200s,china - song dynasty,"mrs. langdon (lorraine d’oremieulx roosevelt) warner [1887–1965], cambridge, ma, given to the cleveland museum of art (?–1915); the cleveland museum of art, cleveland, oh (1915–)",https://clevelandart.org/art/1915.506,https://openaccess-cdn.clevelandart.org/1915.506/1915.506_web.jpg
58,"bowl, 960–1279. china, song dynasty (960-1279). glass; diameter: 30.6 cm (12 1/16 in.); overall: 13.4 cm (5 1/4 in.). the cleveland museum of art, director's contingent fund 1915.507",bowl,960–1279,china - song dynasty,[],https://clevelandart.org/art/1915.507,https://openaccess-cdn.clevelandart.org/1915.507/1915.507_web.jpg
59,"clasp, 618–907. china, tang dynasty (618-907). bronze; overall: 4.6 cm (1 13/16 in.). the cleveland museum of art, general income fund 1915.508",clasp,618–907,china - tang dynasty,[],https://clevelandart.org/art/1915.508,https://openaccess-cdn.clevelandart.org/1915.508/1915.508_web.jpg
60,"garment hook (daigou), 475–221 bce. china, eastern zhou dynasty (770–256 bce), warring states period (475–221 bce). gilt bronze; overall: 5.7 cm (2 1/4 in.). the cleveland museum of art, general income fund 1915.510",garment hook (daigou),475–221 bce,china - zhou dynasty,"(s. m. franck & co., london, uk, sold to the cleveland museum of art) (?-1915); the cleveland museum of art, cleveland, oh (1915-)",https://clevelandart.org/art/1915.510,https://openaccess-cdn.clevelandart.org/1915.510/1915.510_web.jpg
