object_id,title,link,image,object_type,current_location,culture,provenience,creator,date_made,section,materials,technique,description,length,width,credit_line
79-23-1L,Interleaf Pad,https://www.penn.museum/collections/object/177385,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread.  One of five pads to be placed between the jade pages of 79-23-1A-J.,,12.8 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1P,Book Pad,https://www.penn.museum/collections/object/122275,https://www.penn.museum/collections/assets/300/166856.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded | Printed,Rectangular cloth pad of yellow silk brocade with floral motif in gold thread.,40 cm,26.5 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1Q,Book Wrapper,https://www.penn.museum/collections/object/90263,https://www.penn.museum/collections/assets/300/166835.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded,Square cloth wrapper of patches of yellow cloth with printed gold designs of circular medallion with dragon at center and four corner motifs.  Backing is plain yellow silk.  At one corner a tie of yellow silk with gold thread brocade approximately 114 cm in length and 3.5 cm in width is attached.,80 cm,78 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1S,Box,https://www.penn.museum/collections/object/265182,https://www.penn.museum/collections/assets/300/142951.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,Qing Dynasty,Asian,Wood | Gilding,Painted | Gilded,Box for storage of jade tablets.  Gilded with molded decoration of dragons on exterior.,42.2 cm,28 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
35-25-6,Arrow Head,https://www.penn.museum/collections/object/127334,https://www.penn.museum/collections/assets/300/193699.jpg,,Collections Storage,Mongol,China | Beijing | Great Wall,,Shang Dynasty - Modern,Asian,Iron,,Arrow head.  Iron.  Point with triangular sections; long shank somewhat squared.  Corroded and bent.  Obtained at Hongqiao Pass through the Great Wall.,,,"Gift of William C. Watts, 1935"
79-23-1R,Book Wrapper,https://www.penn.museum/collections/object/339661,https://www.penn.museum/collections/assets/300/166902.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Silk | Gold Thread,Woven | Brocaded | Printed,"Square cloth wrapper made up of irregular sized patches of yellow silk brocade with cloud motif and printed gold designs of circular medallion with dragon at center, four smaller circular medallions and four corner motifs. Backing is plain yellow silk. Rust stains and holes especially on backing.",113 cm,117 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
20469,Tile,https://www.penn.museum/collections/object/43527,https://www.penn.museum/collections/assets/300/699399.jpg,,Collections Storage,Chinese,China | Beijing | Yellow Temple,,17th Century,Asian,Ceramic,,Yellow glazed pottery terminal tile.,31 cm,22 cm,"Gift of George L. Farnum and John Edward Farnum, 1898"
44-16-1A,Death Mask,https://www.penn.museum/collections/object/355247,https://www.penn.museum/collections/assets/300/29313.jpg,On Display,Asia Galleries - On Display,Chinese,China | Shanxi | Pingding,,Liao Dynasty,Asian,Silver,,"The delicate features of this thin silver death mask were beaten into shape from a heavy sheet of metal. Masks like this were placed over the faces of men and women of the Kitan (Qidan) tribes that formed the Liao empire. The masks were attached to gold, silver, or copper wire shrouds that covered the buried bodies of the Kitan and were buried in Inner Mongolia and Liaoning Province from the mid-10th to early 12th century CE.   The eyes are partly closed with heavy eyebrows and a long thin nose. There is a small mouth and long ears, each with a pierced hole in the lobe.",,,"Purchased from Mathias Komor, 1944"
54-6-4,Mirror,https://www.penn.museum/collections/object/335278,https://www.penn.museum/collections/assets/300/204214.jpg,,Collections Storage,Chinese,China | Anhui | Shoh Chou,,Late Warring States Period,Asian,Copper Alloy | Bronze,,Bronze mirror with band of dragons. Fine smooth lacquer-like green patina. In fitted box.,,,"Purchased from Mathias Komor, 1954"
49-29-1,Printing Block,https://www.penn.museum/collections/object/116026,https://www.penn.museum/collections/assets/300/234223.jpg,,Collections Storage,Tibetan,China | Tibet | Beijing,,15th Century - 1949,Asian,Wood,,Wooden printing block.  With Tibetan script.  Probably made in Beijing.  Chinese characters on end. Text on both sides.,,,"Gift of Pennsylvania Historical and Museum Commission, 1949"
17554,Lottery Book,https://www.penn.museum/collections/object/265515,https://www.penn.museum/collections/assets/300/746988.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 泰記厰, and a brush-written time, 十夜. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.5 cm,13.4 cm,"Gift of Maxwell Sommerville, 1895"
17558,Lottery Book,https://www.penn.museum/collections/object/168947,https://www.penn.museum/collections/assets/300/746992.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Nine square sheets of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text  zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 德利厰, and a brush-written time,十九日. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters. Green printing on thin white paper. Red brush strokes.",12.8 cm,13.5 cm,"Gift of Maxwell Sommerville, 1895"
17557,Lottery Book,https://www.penn.museum/collections/object/44073,https://www.penn.museum/collections/assets/300/746991.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Two square sheets of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text  zhao lai yuan di gei 照來原底給 runs through the middle of the square. To this is added a company name stamp 泰記厰, and a brush-written time, 初七夜. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters. Green printing on thin white paper. Red brush strokes.",12.8 cm,13.5 cm,"Gift of Maxwell Sommerville, 1895"
17556,Lottery Book,https://www.penn.museum/collections/object/107266,https://www.penn.museum/collections/assets/300/746990.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper glued together and printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text zhao lai yuan di gei wen tai zao 照來原底給文泰造  runs through the middle of the square. To this is added a company name stamp 恆和厰 and a brush-written time, 十六日. The company name is stamped on the top and reads: Hang Wo & Co.   To the left it reads: Day Time. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.5 cm,13.7 cm,"Gift of Maxwell Sommerville, 1895"
79-23-1J,Book,https://www.penn.museum/collections/object/32996,https://www.penn.museum/collections/assets/300/142920.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Nephrite | Silk | Gold | Lapis Lazuli | Gold Thread,Carved | Woven | Brocaded,"One page in book made of ten green nephrite slabs which are pierced and strung together with gold cord.  Cover of yellow silk with gold brocade cloud design with symbols sewn to fit tablets.  Edict written in 1648 in which Emperor Fu-lin confers a posthumous honorary title of Empress on his great-great-great-grandmother, a Manchurian tribeswoman.  End panels form the covers of the book each with incised pair of dragons and a flaming pearl.  Incised lines of dragons and script with gold dust in incisions and proper names filled in with lapis lazuli.  Written in both Chinese and Manchu Running Script, beginning at opposite ends and ending at center.  Interleaving pads and wrappings assigned suffixes K-R.",,13.6 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
79-23-1A,Book,https://www.penn.museum/collections/object/292966,https://www.penn.museum/collections/assets/300/142914.jpg,,Collections Storage,Chinese,China | Beijing | Taimiao | Temple of Ancestors,,12/21/1648,Asian,Nephrite | Silk | Gold | Lapis Lazuli | Gold Thread,Carved | Woven | Brocaded,"One page in book made of ten green nephrite slabs which are pierced and strung together with gold cord.  Cover of yellow silk with gold brocade cloud design with symbols sewn to fit tablets.  Edict written in 1648 in which Emperor Fulin confers a posthumous honorary title of Empress on his great-great-great-grandmother, a Manchurian tribeswoman.  End panels form the covers of the book each with incised pair of dragons and a flaming pearl.  Incised lines of dragons and script with gold dust in incisions and proper names filled in with lapis lazuli.  Written in both Chinese and Manchu Running Script, beginning at opposite ends and ending at center.  Interleaving pads and wrappings assigned suffixes K-R.",,14 cm,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979"
17553.43,Lottery Book,https://www.penn.museum/collections/object/351242,https://www.penn.museum/collections/assets/300/747152.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.47,Lottery Book,https://www.penn.museum/collections/object/350709,https://www.penn.museum/collections/assets/300/747156.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.46,Lottery Book,https://www.penn.museum/collections/object/350708,https://www.penn.museum/collections/assets/300/747155.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.45,Lottery Book,https://www.penn.museum/collections/object/350707,https://www.penn.museum/collections/assets/300/747154.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.44,Lottery Book,https://www.penn.museum/collections/object/350706,https://www.penn.museum/collections/assets/300/747153.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.10,Lottery Book,https://www.penn.museum/collections/object/350184,https://www.penn.museum/collections/assets/300/747119.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.9,Lottery Book,https://www.penn.museum/collections/object/350183,https://www.penn.museum/collections/assets/300/747118.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.8,Lottery Book,https://www.penn.museum/collections/object/350182,https://www.penn.museum/collections/assets/300/747117.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.7,Lottery Book,https://www.penn.museum/collections/object/350181,https://www.penn.museum/collections/assets/300/747116.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.57,Lottery Book,https://www.penn.museum/collections/object/350112,https://www.penn.museum/collections/assets/300/746970.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.56,Lottery Book,https://www.penn.museum/collections/object/350108,https://www.penn.museum/collections/assets/300/746968.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.41,Lottery Book,https://www.penn.museum/collections/object/345220,https://www.penn.museum/collections/assets/300/747150.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.40,Lottery Book,https://www.penn.museum/collections/object/345219,https://www.penn.museum/collections/assets/300/747149.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
17553.51,Lottery Book,https://www.penn.museum/collections/object/353009,https://www.penn.museum/collections/assets/300/746963.jpg,,Collections Storage,Chinese,China | Shandong | Chefoo,,19th Century - 1895,Asian,Paper,,"Square sheet of paper printed with the first 80 characters of the Thousand Character Classic in vertical columns inside a square border, and marked up with brush and red ink. A horizontal line of text reading zhao lai yuan di gei 照來原底給 runs through the middle of the square. These cards were used to play the gambling game of pok kop piu (Mandarin: bai ge piao 白鴿票,""white pigeon lottery""). The aim was to guess correctly twenty characters selected at random from the opening eighty of the Thousand-Character Classic. The game was widely played in Canton, and in overseas Chinese communities. It continues to be played in Macao today under the Portuguese spelling ""pacapio"" and in US casinos under the name ""keno"", with numbers 1-80 in place of the original Chinese characters.",12.8 cm,13.8 cm,"Gift of Maxwell Sommerville, 1895"
